section,candidate,representation,n,encoder_sequence_length,encoder_macs_per_sample,encoder_gmacs_per_sample,attention_share_of_encoder_macs,activation_floats_per_sample,activation_mib_batch_64,parameter_count,fp32_size_mib,budget_status,mixing,tokens_per_coordinate,numerical_front_end,encoder_dim,decoder_dim,encoder_heads,encoder_loops,name
candidate,A,,,,,,,,,4131200,15.759,OK,full self-attention,2,False,512,128,8,2,Salsa2-GatedUT (current baseline)
candidate,B,,,,,,,,,4241288,16.179,OK,full self-attention + sparse-aware attention bias,1,True,512,128,8,4,Salsa2-NACT (numerical-aware compact transformer)
candidate,B-lite,,,,,,,,,4241288,16.179,OK,full self-attention + sparse-aware attention bias,1,True,512,128,8,2,Salsa2-NACT at T_e=2 (identical parameters to B)
candidate,C,,,,,,,,,4113796,15.693,OK,depthwise conv (local) + full self-attention (global),1,True,512,128,4,4,Salsa2-Hybrid (depthwise conv + gated MLP + attention)
candidate,C-alt,,,,,,,,,4004736,15.277,OK,"diagonal state-space scan, no attention in the encoder",1,True,512,128,0,4,Salsa2-SSM (state-space instead of attention)
scaling,A,R,12,26,192225280,0.1922,0.007202,540160,131.875,,,,,,,,,,,
scaling,A,R,30,62,462954496,0.463,0.017005,1292416,315.531,,,,,,,,,,,
scaling,A,R,50,102,769990656,0.77,0.027672,2176896,531.469,,,,,,,,,,,
scaling,A,R,70,142,1083580416,1.0836,0.038111,3112576,759.906,,,,,,,,,,,
scaling,A,R,90,182,1403723776,1.4037,0.048327,4099456,1000.844,,,,,,,,,,,
scaling,A,R,128,258,2030051328,2.0301,0.067153,6115584,1493.062,,,,,,,,,,,
scaling,A,P,12,37,274384896,0.2744,0.010218,765616,186.918,,,,,,,,,,,
scaling,A,P,30,91,684902400,0.6849,0.024762,1928560,470.84,,,,,,,,,,,
scaling,A,P,50,151,1155041280,1.155,0.040428,3330160,813.027,,,,,,,,,,,
scaling,A,P,70,211,1639925760,1.6399,0.055599,4846960,1183.34,,,,,,,,,,,
scaling,A,P,90,271,2139555840,2.1396,0.070298,6478960,1581.777,,,,,,,,,,,
scaling,A,P,128,385,3129477120,3.1295,0.097002,9897136,2416.293,,,,,,,,,,,
scaling,B,R,12,14,206323712,0.2063,0.003891,574144,140.172,,,,,,,,,,,
scaling,B,R,30,32,473956352,0.474,0.00885,1301632,317.781,,,,,,,,,,,
scaling,B,R,50,52,774438912,0.7744,0.014301,2134272,521.062,,,,,,,,,,,
scaling,B,R,70,72,1078198272,1.0782,0.019694,2992512,730.594,,,,,,,,,,,
scaling,B,R,90,92,1385234432,1.3852,0.025027,3876352,946.375,,,,,,,,,,,
scaling,B,R,128,130,1977630720,1.9776,0.035003,5626176,1373.578,,,,,,,,,,,
scaling,B,P,12,13,191533056,0.1915,0.003614,534336,130.453,,,,,,,,,,,
scaling,B,P,30,31,459018240,0.459,0.008575,1260672,307.781,,,,,,,,,,,
scaling,B,P,50,51,759336960,0.7593,0.01403,2092032,510.75,,,,,,,,,,,
scaling,B,P,70,71,1062932480,1.0629,0.019425,2948992,719.969,,,,,,,,,,,
scaling,B,P,90,91,1369804800,1.3698,0.024762,3831552,935.438,,,,,,,,,,,
scaling,B,P,128,129,1961889792,1.9619,0.034743,5578944,1362.047,,,,,,,,,,,
scaling,B-lite,R,12,14,103161856,0.1032,0.003891,298624,72.906,,,,,,,,,,,
scaling,B-lite,R,30,32,236978176,0.237,0.00885,662656,161.781,,,,,,,,,,,
scaling,B-lite,R,50,52,387219456,0.3872,0.014301,1079296,263.5,,,,,,,,,,,
scaling,B-lite,R,70,72,539099136,0.5391,0.019694,1508736,368.344,,,,,,,,,,,
scaling,B-lite,R,90,92,692617216,0.6926,0.025027,1950976,476.312,,,,,,,,,,,
scaling,B-lite,R,128,130,988815360,0.9888,0.035003,2826496,690.062,,,,,,,,,,,
scaling,B-lite,P,12,13,95766528,0.0958,0.003614,278704,68.043,,,,,,,,,,,
scaling,B-lite,P,30,31,229509120,0.2295,0.008575,642160,156.777,,,,,,,,,,,
scaling,B-lite,P,50,51,379668480,0.3797,0.01403,1058160,258.34,,,,,,,,,,,
scaling,B-lite,P,70,71,531466240,0.5315,0.019425,1486960,363.027,,,,,,,,,,,
scaling,B-lite,P,90,91,684902400,0.6849,0.024762,1928560,470.84,,,,,,,,,,,
scaling,B-lite,P,128,129,980944896,0.9809,0.034743,2802864,684.293,,,,,,,,,,,
scaling,C,R,12,14,199127040,0.1991,0.004032,513664,125.406,,,,,,,,,,,
scaling,C,R,30,32,457506816,0.4575,0.009168,1154176,281.781,,,,,,,,,,,
scaling,C,R,50,52,747708416,0.7477,0.014813,1878016,458.5,,,,,,,,,,,
scaling,C,R,70,72,1041186816,1.0412,0.020394,2614656,638.344,,,,,,,,,,,
scaling,C,R,90,92,1337942016,1.3379,0.025912,3364096,821.312,,,,,,,,,,,
scaling,C,R,128,130,1910804480,1.9108,0.036227,4823296,1177.562,,,,,,,,,,,
scaling,C,P,12,13,184850432,0.1849,0.003745,478384,116.793,,,,,,,,,,,
scaling,C,P,30,31,443082752,0.4431,0.008884,1118320,273.027,,,,,,,,,,,
scaling,C,P,50,51,733120512,0.7331,0.014532,1841520,449.59,,,,,,,,,,,
scaling,C,P,70,71,1026435072,1.0264,0.020116,2577520,629.277,,,,,,,,,,,
scaling,C,P,90,91,1323026432,1.323,0.025637,3326320,812.09,,,,,,,,,,,
scaling,C,P,128,129,1895577600,1.8956,0.035958,4784304,1168.043,,,,,,,,,,,
scaling,C-alt,R,12,14,192217088,0.1922,0.0,997952,243.641,,,,,,,,,,,
scaling,C-alt,R,30,32,439353344,0.4394,0.0,2251904,549.781,,,,,,,,,,,
scaling,C-alt,R,50,52,713949184,0.7139,0.0,3645184,889.938,,,,,,,,,,,
scaling,C-alt,R,70,72,988545024,0.9885,0.0,5038464,1230.094,,,,,,,,,,,
scaling,C-alt,R,90,92,1263140864,1.2631,0.0,6431744,1570.25,,,,,,,,,,,
scaling,C-alt,R,128,130,1784872960,1.7849,0.0,9078976,2216.547,,,,,,,,,,,
scaling,C-alt,P,12,13,178487296,0.1785,0.0,928288,226.633,,,,,,,,,,,
scaling,C-alt,P,30,31,425623552,0.4256,0.0,2182240,532.773,,,,,,,,,,,
scaling,C-alt,P,50,51,700219392,0.7002,0.0,3575520,872.93,,,,,,,,,,,
scaling,C-alt,P,70,71,974815232,0.9748,0.0,4968800,1213.086,,,,,,,,,,,
scaling,C-alt,P,90,91,1249411072,1.2494,0.0,6362080,1553.242,,,,,,,,,,,
scaling,C-alt,P,128,129,1771143168,1.7711,0.0,9009312,2199.539,,,,,,,,,,,
