epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,step,wall_time_sec
0,79,2.719783,5056,15168,84.148,84.148,0.0002,450.22,4251520,Salsa2-CompactTransformer,82b51f36a8481c6b,0,2.037102,0.440267,0.0,0.326497,0.0,0.013184,0.1,241.5547,251.0,"[0.0132, 0.0186, 0.0239, 0.0337, 0.0391, 0.0444, 0.0508, 0.0571, 0.0625, 1.0]",0.01416,238.9941,251.0,0.936523,2048,6144,60.085,180.3,79,112.819
1,158,1.938718,10112,30336,78.935,163.083,0.0003975,423.88,4251520,Salsa2-CompactTransformer,82b51f36a8481c6b,0,1.887887,0.443197,0.000977,0.443848,0.000977,0.174316,0.1,85.4658,72.0,"[0.1743, 0.374, 0.5156, 0.6123, 0.707, 0.8125, 0.9141, 0.9736, 0.9873, 1.0]",0.187012,63.2373,62.0,0.0,2048,6144,62.005,186.0,158,213.276
2,237,1.89745,15168,45504,79.63,242.713,0.0004990932474140245,446.4,4251520,Salsa2-CompactTransformer,82b51f36a8481c6b,0,1.877554,0.443359,0.003418,0.447917,0.003418,0.208984,0.1,70.1909,62.5,"[0.209, 0.4043, 0.6006, 0.7305, 0.8267, 0.9268, 0.9941, 0.9961, 0.9985, 1.0]",0.210449,62.1035,62.0,0.0,2048,6144,62.494,187.5,237,314.468
3,316,1.873524,20224,60672,78.682,321.395,0.000491135059176067,446.29,4251520,Salsa2-CompactTransformer,82b51f36a8481c6b,0,1.863933,0.445801,0.007812,0.446615,0.007812,0.126465,0.1,120.4761,120.0,"[0.1265, 0.2192, 0.3169, 0.4219, 0.5142, 0.6191, 0.7144, 0.8237, 0.9233, 1.0]",0.203125,62.6641,63.0,0.0,2048,6144,62.926,188.8,316,414.853
4,395,1.862642,25280,75840,80.182,401.576,0.00047522039359225454,442.59,4251520,Salsa2-CompactTransformer,82b51f36a8481c6b,0,1.860583,0.447266,0.00293,0.44694,0.00293,0.205566,0.1,70.7271,62.0,"[0.2056, 0.4058, 0.6016, 0.7217, 0.8203, 0.915, 0.9961, 0.9985, 0.999, 1.0]",0.206543,62.2075,62.0,0.0,2048,6144,62.952,188.9,395,516.86
5,474,1.861546,30336,91008,81.888,483.464,0.00045187546108519993,454.44,4251520,Salsa2-CompactTransformer,82b51f36a8481c6b,0,1.859976,0.445475,0.00293,0.445312,0.00293,0.203613,0.1,100.6489,97.0,"[0.2036, 0.3081, 0.4131, 0.5103, 0.6099, 0.707, 0.8188, 0.9146, 1.0, 1.0]",0.203613,62.9355,63.0,0.0,2048,6144,62.747,188.2,474,621.683
6,553,1.858571,35392,106176,79.117,562.581,0.0004218721501206523,446.91,4251520,Salsa2-CompactTransformer,82b51f36a8481c6b,0,1.854021,0.445312,0.002441,0.443848,0.002441,0.20459,0.1,63.1821,63.0,"[0.2046, 0.3955, 0.6016, 0.8013, 0.9629, 1.0, 1.0, 1.0, 1.0, 1.0]",0.20459,62.7808,63.0,0.0,2048,6144,62.91,188.7,553,723.211
7,632,1.857247,40448,121344,80.642,643.223,0.0003862025051031447,414.89,4251520,Salsa2-CompactTransformer,82b51f36a8481c6b,0,1.85704,0.444987,0.004395,0.444987,0.004395,0.205078,0.1,63.353,63.0,"[0.2051, 0.3955, 0.5962, 0.8008, 0.9551, 1.0, 1.0, 1.0, 1.0, 1.0]",0.205078,62.7847,63.0,0.0,2048,6144,62.883,188.6,632,825.904
8,711,1.857615,45504,136512,79.628,722.851,0.0003460459249261226,392.7,4251520,Salsa2-CompactTransformer,82b51f36a8481c6b,0,1.856832,0.445638,0.003906,0.445638,0.003906,0.11377,0.1,124.4028,124.0,"[0.1138, 0.2036, 0.3042, 0.4067, 0.5049, 0.6011, 0.7017, 0.8066, 0.9092, 1.0]",0.20459,62.6704,62.5,0.0,2048,6144,62.951,188.9,711,926.845
9,790,1.855063,50560,151680,77.837,800.688,0.00030273016674001743,464.01,4251520,Salsa2-CompactTransformer,82b51f36a8481c6b,0,1.850793,0.448079,0.006348,0.35026,0.006348,0.107422,0.1,122.6421,123.0,"[0.1074, 0.2129, 0.3159, 0.418, 0.5098, 0.6118, 0.7109, 0.8115, 0.9053, 1.0]",0.202148,62.6968,62.0,0.0,2048,6144,63.146,189.4,790,1026.689
10,869,1.852302,55616,166848,92.616,893.304,0.00025768744432908117,456.64,4251520,Salsa2-CompactTransformer,82b51f36a8481c6b,0,1.848945,0.442546,0.00293,0.443848,0.00293,0.199219,0.1,62.8345,63.0,"[0.1992, 0.4014, 0.6108, 0.7979, 0.9961, 1.0, 1.0, 1.0, 1.0, 1.0]",0.199219,62.8306,63.0,0.0,2048,6144,62.259,186.8,869,1144.035
11,948,1.849031,60672,182016,93.847,987.151,0.00021240707268209953,455.99,4251520,Salsa2-CompactTransformer,82b51f36a8481c6b,0,1.853058,0.444661,0.001465,0.348796,0.001465,0.121094,0.1,119.7739,120.0,"[0.1211, 0.2217, 0.3281, 0.4248, 0.5249, 0.6265, 0.7217, 0.8223, 0.9155, 1.0]",0.205566,62.7236,62.0,0.0,2048,6144,61.462,184.4,948,1263.794
12,1027,1.848716,65728,197184,95.869,1083.02,0.0001683862245404622,423.07,4251520,Salsa2-CompactTransformer,82b51f36a8481c6b,0,1.84801,0.449056,0.003418,0.447103,0.003418,0.203613,0.1,68.77,64.0,"[0.2036, 0.3955, 0.5957, 0.7471, 0.8481, 0.9478, 1.0, 1.0, 1.0, 1.0]",0.203613,63.0342,64.0,0.0,2048,6144,60.69,182.1,1027,1384.711
