epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,step,wall_time_sec
0,79,2.805067,5056,15168,80.572,80.572,0.0002,411.62,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,2.093039,0.440755,0.0,0.009115,0.0,0.000977,0.1,250.3042,251.0,"[0.001, 0.0015, 0.0015, 0.0029, 0.0034, 0.0039, 0.0039, 0.0039, 0.0039, 1.0]",0.000977,250.2891,251.0,0.996094,2048,6144,62.751,188.3,79,107.732
1,158,1.931884,10112,30336,315.624,396.196,0.0003975,379.55,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,1.881519,0.452637,0.005371,0.448405,0.005371,0.198242,0.1,94.5933,87.5,"[0.1982, 0.3555, 0.4487, 0.5444, 0.6387, 0.7402, 0.8447, 0.9453, 0.999, 1.0]",0.199219,62.561,61.0,0.0,2048,6144,25.523,76.6,158,443.656
2,237,1.883291,15168,45504,77.963,474.159,0.0004990932474140245,400.09,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,1.884865,0.449056,0.005859,0.444499,0.005859,0.204102,0.1,71.9771,65.0,"[0.2041, 0.3975, 0.5786, 0.7085, 0.8164, 0.9214, 0.9932, 1.0, 1.0, 1.0]",0.204102,63.397,64.0,0.0,2048,6144,31.989,96.0,237,541.924
3,316,1.864917,20224,60672,78.664,552.823,0.000491135059176067,374.57,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,1.870499,0.448079,0.004883,0.44694,0.004883,0.197754,0.1,83.2524,69.0,"[0.1978, 0.3936, 0.5195, 0.6094, 0.7075, 0.8154, 0.9194, 0.9985, 1.0, 1.0]",0.197754,62.958,62.0,0.0,2048,6144,36.583,109.7,316,640.86
4,395,1.860247,25280,75840,77.223,630.046,0.00047522039359225454,406.73,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,1.856228,0.448405,0.003906,0.426758,0.003906,0.130371,0.1,119.3579,116.0,"[0.1304, 0.2251, 0.3354, 0.4282, 0.5288, 0.6172, 0.7163, 0.8252, 0.915, 1.0]",0.215332,61.6426,62.0,0.0,2048,6144,40.124,120.4,395,737.858
5,474,1.853394,30336,91008,76.219,706.265,0.00045187546108519993,375.48,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,1.8524,0.446615,0.005371,0.449382,0.005371,0.204102,0.1,70.3657,62.5,"[0.2041, 0.3979, 0.5933, 0.73, 0.8296, 0.9272, 1.0, 1.0, 1.0, 1.0]",0.204102,62.8154,62.5,0.0,2048,6144,42.953,128.9,474,833.97
6,553,1.853727,35392,106176,76.563,782.828,0.0004218721501206523,398.17,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,1.850161,0.44401,0.003906,0.449056,0.003906,0.195801,0.1,69.7349,63.0,"[0.1958, 0.4038, 0.5879, 0.7383, 0.8369, 0.9331, 1.0, 1.0, 1.0, 1.0]",0.195801,62.9019,63.0,0.0,2048,6144,45.21,135.6,553,930.391
7,632,1.851078,40448,121344,78.431,861.259,0.0003862025051031447,406.74,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,1.835467,0.465007,0.007324,0.470378,0.007324,0.228516,0.1,71.9771,60.0,"[0.2285, 0.4209, 0.6221, 0.7319, 0.8169, 0.8945, 0.957, 0.9683, 0.9873, 1.0]",0.241211,57.6748,56.0,0.0,2048,6144,46.964,140.9,632,1481.967
8,711,1.824448,45504,136512,82.962,944.221,0.0003460459249261226,401.8,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,1.799402,0.485677,0.009766,0.477702,0.009766,0.278809,0.1,89.8413,58.0,"[0.2788, 0.4517, 0.5654, 0.6313, 0.689, 0.73, 0.7764, 0.8418, 0.9189, 1.0]",0.359863,45.416,37.0,0.0,2048,6144,48.192,144.6,711,1583.633
9,790,1.787476,50560,151680,77.675,1021.896,0.00030273016674001743,421.59,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,1.78145,0.506022,0.005859,0.480794,0.005859,0.25,0.1,81.2373,61.0,"[0.25, 0.4316, 0.5718, 0.6812, 0.7441, 0.7881, 0.8477, 0.9282, 1.0, 1.0]",0.25,53.1406,50.0,0.0,2048,6144,49.477,148.4,790,1681.242
10,869,1.782103,55616,166848,78.68,1100.577,0.00025768744432908117,387.61,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,1.763627,0.519368,0.009277,0.474121,0.009277,0.333008,0.1,67.5732,42.0,"[0.333, 0.5552, 0.6924, 0.7681, 0.8091, 0.8501, 0.8823, 0.9121, 0.9624, 1.0]",0.370605,43.2739,35.0,0.0,2048,6144,50.534,151.6,869,3043.31
11,948,1.756834,60672,182016,82.694,1183.271,0.00021240707268209953,378.58,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,1.746784,0.52474,0.01123,0.451986,0.01123,0.305664,0.1,83.4839,51.0,"[0.3057, 0.498, 0.6074, 0.665, 0.7075, 0.7544, 0.8013, 0.8623, 0.936, 1.0]",0.369629,43.8584,36.0,0.0,2048,6144,51.275,153.8,948,3145.743
12,1027,1.7493,65728,197184,77.071,1260.342,0.0001683862245404622,406.45,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,1.74396,0.522624,0.004395,0.477865,0.004395,0.337402,0.1,65.3374,45.0,"[0.3374, 0.5459, 0.6772, 0.7832, 0.8311, 0.876, 0.9019, 0.9385, 0.9971, 1.0]",0.340332,46.7788,40.0,0.0,2048,6144,52.151,156.5,1027,3243.255
13,1106,1.745291,70784,212352,76.09,1336.432,0.00012708042713359082,410.23,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,1.749244,0.52653,0.009766,0.447428,0.009766,0.338379,0.1,66.7402,40.5,"[0.3384, 0.5723, 0.7129, 0.7769, 0.8154, 0.856, 0.8848, 0.9072, 0.9463, 1.0]",0.39209,41.9033,34.0,0.0,2048,6144,52.965,158.9,1106,3339.672
14,1185,1.73829,75840,227520,76.35,1412.782,8.985543590229906e-05,406.41,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,1.74149,0.527018,0.010254,0.452311,0.010254,0.340332,0.1,64.7886,40.0,"[0.3403, 0.5747, 0.7236, 0.7861, 0.8267, 0.8677, 0.8965, 0.9155, 0.9526, 1.0]",0.387695,42.167,34.0,0.0,2048,6144,53.681,161.0,1185,3435.332
15,1264,1.739185,80896,242688,76.562,1489.344,5.794207648124534e-05,400.73,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,1.732488,0.533854,0.012207,0.482585,0.012207,0.34375,0.1,66.521,40.0,"[0.3438, 0.5825, 0.7144, 0.7734, 0.8115, 0.8511, 0.8853, 0.9087, 0.9502, 1.0]",0.393555,41.6265,33.0,0.0,2048,6144,54.317,162.9,1264,3531.496
16,1343,1.730108,85952,257856,78.504,1567.848,3.239554806764178e-05,330.61,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,1.732095,0.52946,0.010254,0.481283,0.010254,0.341309,0.1,66.3384,40.0,"[0.3413, 0.5806, 0.7134, 0.7725, 0.8115, 0.8521, 0.8838, 0.9072, 0.9556, 1.0]",0.385742,41.6226,33.0,0.0,2048,6144,54.822,164.5,1343,3630.648
17,1422,1.728856,91008,273024,87.574,1655.422,1.4060533789890816e-05,315.95,4131200,Salsa2-GatedUT,98afa3f729f8607e,0,1.731148,0.532715,0.010742,0.480306,0.010742,0.341797,0.1,66.4756,40.0,"[0.3418, 0.5806, 0.7124, 0.77, 0.8101, 0.8511, 0.8828, 0.9072, 0.9551, 1.0]",0.386719,41.5923,33.0,0.0,2048,6144,54.976,164.9,1422,3738.243
