epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,step,wall_time_sec
0,79,2.803576,5056,15168,124.197,124.197,0.0002,427.73,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,2.020664,0.441243,0.000488,0.263184,0.000488,0.014648,0.1,234.4214,251.0,"[0.0146, 0.0322, 0.0488, 0.0596, 0.0713, 0.0825, 0.0962, 0.1011, 0.1011, 1.0]",0.014648,232.665,251.0,0.898926,2048,6144,40.709,122.1,79,162.111
1,158,1.924738,10112,30336,112.238,236.435,0.0003975,357.56,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.885278,0.44987,0.003418,0.444987,0.003418,0.199707,0.1,74.0093,64.0,"[0.1997, 0.3862, 0.5801, 0.7036, 0.8042, 0.8916, 0.9717, 0.9902, 1.0, 1.0]",0.199707,62.2354,61.0,0.0,2048,6144,42.769,128.3,158,302.751
2,237,1.873467,15168,45504,110.188,346.623,0.0004998030142314632,378.71,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.862763,0.444336,0.003418,0.447266,0.003418,0.197266,0.1,69.1377,66.0,"[0.1973, 0.3911, 0.585, 0.7476, 0.8569, 0.9517, 1.0, 1.0, 1.0, 1.0]",0.197266,63.7593,66.0,0.0,2048,6144,43.759,131.3,237,441.591
3,316,1.860549,20224,60672,118.379,465.002,0.0004980660613914347,357.79,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.861775,0.446615,0.003906,0.448568,0.003906,0.124023,0.1,120.1436,119.0,"[0.124, 0.2271, 0.3276, 0.4297, 0.5215, 0.627, 0.7168, 0.814, 0.9053, 1.0]",0.21875,62.0088,62.0,0.0,2048,6144,43.492,130.5,316,591.395
4,395,1.85909,25280,75840,120.849,585.851,0.0004945478263830846,354.52,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.854317,0.446126,0.004883,0.442546,0.004883,0.204102,0.1,69.1943,62.0,"[0.2041, 0.4077, 0.5991, 0.7393, 0.8359, 0.9307, 1.0, 1.0, 1.0, 1.0]",0.204102,62.3652,62.0,0.0,2048,6144,43.151,129.5,395,743.137
5,474,1.855107,30336,91008,118.979,704.831,0.0004892736235376627,352.49,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.855801,0.447266,0.004395,0.442871,0.004395,0.204102,0.1,70.3369,62.0,"[0.2041, 0.4028, 0.605, 0.7236, 0.8247, 0.916, 1.0, 1.0, 1.0, 1.0]",0.204102,62.2856,62.0,0.0,2048,6144,43.04,129.1,474,893.582
6,553,1.852706,35392,106176,238.263,943.094,0.0004822814016896251,375.68,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.856746,0.445312,0.005371,0.350098,0.005371,0.132324,0.1,121.041,122.0,"[0.1323, 0.2183, 0.3208, 0.4126, 0.5151, 0.6079, 0.7114, 0.8159, 0.9175, 1.0]",0.214844,62.0181,61.5,0.0,2048,6144,37.528,112.6,553,1163.223
7,632,1.852924,40448,121344,1620.391,2563.485,0.0004736214711279706,420.37,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.854576,0.447266,0.003906,0.447591,0.003906,0.177734,0.1,105.6821,101.0,"[0.1777, 0.292, 0.3911, 0.4976, 0.585, 0.6851, 0.7837, 0.8823, 0.9702, 1.0]",0.20752,61.8325,62.0,0.0,2048,6144,15.779,47.3,632,2814.656
8,711,1.852033,45504,136512,117.887,2681.372,0.0004633561416046969,352.71,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.851053,0.44401,0.001953,0.44222,0.001953,0.200684,0.1,68.7891,62.0,"[0.2007, 0.4092, 0.5972, 0.7437, 0.8398, 0.9395, 1.0, 1.0, 1.0, 1.0]",0.200684,62.416,62.0,0.0,2048,6144,16.97,50.9,711,2964.313
9,790,1.850674,50560,151680,290.908,2972.28,0.0004515592740049712,283.21,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.852762,0.44873,0.003906,0.443359,0.003906,0.204102,0.1,70.6738,62.0,"[0.2041, 0.4004, 0.606, 0.7192, 0.8188, 0.9121, 1.0, 1.0, 1.0, 1.0]",0.204102,62.2661,62.0,0.0,2048,6144,17.011,51.0,790,3286.171
10,869,1.849987,55616,166848,120.059,3092.339,0.000438315748904828,242.12,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.851421,0.44873,0.005371,0.448405,0.005371,0.196289,0.1,71.335,66.0,"[0.1963, 0.3867, 0.5918, 0.7168, 0.8262, 0.9272, 1.0, 1.0, 1.0, 1.0]",0.196289,63.748,66.0,0.0,2048,6144,17.985,54.0,869,3437.435
11,948,1.853632,60672,182016,118.088,3210.428,0.0004237208558402157,189.89,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.848758,0.444336,0.005371,0.349121,0.005371,0.140137,0.1,118.1768,119.0,"[0.1401, 0.2363, 0.3335, 0.4238, 0.5254, 0.6206, 0.7197, 0.8325, 0.9316, 1.0]",0.208496,62.0332,61.0,0.0,2048,6144,18.898,56.7,948,3586.507
12,1027,1.848503,65728,197184,121.391,3331.818,0.00040787960768171294,267.12,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.849088,0.44515,0.004395,0.44694,0.004395,0.204102,0.1,84.4785,73.0,"[0.2041, 0.4126, 0.5059, 0.6094, 0.7046, 0.8003, 0.8896, 1.0, 1.0, 1.0]",0.204102,61.7954,62.0,0.0,2048,6144,19.727,59.2,1027,3738.992
13,1106,1.847925,70784,212352,136.2,3468.018,0.00039090598504810947,248.57,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.849995,0.443197,0.004395,0.442871,0.004395,0.204102,0.1,70.3369,62.0,"[0.2041, 0.4028, 0.605, 0.7236, 0.8247, 0.916, 1.0, 1.0, 1.0, 1.0]",0.204102,62.2856,62.0,0.0,2048,6144,20.411,61.2,1106,3910.502
14,1185,1.847462,75840,227520,120.689,3588.707,0.0003729221161954314,243.14,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.850123,0.443848,0.005371,0.350098,0.005371,0.132324,0.1,121.0439,122.0,"[0.1323, 0.2183, 0.3208, 0.4126, 0.5151, 0.6079, 0.7114, 0.8159, 0.9175, 1.0]",0.214844,62.0171,61.5,0.0,2048,6144,21.133,63.4,1185,4063.328
15,1264,1.847949,80896,242688,116.389,3705.096,0.0003540573982822583,177.42,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.848377,0.443522,0.003418,0.446126,0.003418,0.194336,0.1,70.9951,65.0,"[0.1943, 0.3887, 0.5942, 0.7197, 0.8325, 0.9316, 1.0, 1.0, 1.0, 1.0]",0.194336,63.7495,65.0,0.0,2048,6144,21.834,65.5,1264,4210.604
16,1343,1.847964,85952,257856,116.791,3821.887,0.0003344475663339821,229.34,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.846161,0.449056,0.00293,0.448568,0.00293,0.106445,0.1,124.2314,123.0,"[0.1064, 0.2095, 0.311, 0.417, 0.5093, 0.6118, 0.7041, 0.7983, 0.8882, 1.0]",0.218262,61.8101,61.0,0.0,2048,6144,22.489,67.5,1343,4359.736
17,1422,1.846656,91008,273024,123.7,3945.587,0.00031423371660497975,166.96,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.848941,0.44694,0.005371,0.348958,0.005371,0.140137,0.1,118.2407,119.0,"[0.1401, 0.2358, 0.3335, 0.4238, 0.5254, 0.6201, 0.7197, 0.8311, 0.9316, 1.0]",0.208496,62.0356,61.0,0.0,2048,6144,23.066,69.2,1422,4514.477
18,1501,1.847406,96064,288192,118.675,4064.263,0.00029356129136578335,164.32,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.844987,0.449707,0.004883,0.44873,0.004883,0.118164,0.1,122.0703,121.0,"[0.1182, 0.2202, 0.3169, 0.4229, 0.5137, 0.6177, 0.7129, 0.8096, 0.894, 1.0]",0.224121,62.0078,61.0,0.0,2048,6144,23.636,70.9,1501,4665.013
19,1580,1.846522,101120,303360,117.047,4181.31,0.00027257903241988395,224.89,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.84361,0.445312,0.004395,0.448405,0.004395,0.197754,0.1,69.7236,66.0,"[0.1978, 0.3901, 0.5903, 0.7383, 0.8467, 0.9448, 1.0, 1.0, 1.0, 1.0]",0.197754,63.7539,66.0,0.0,2048,6144,24.184,72.6,1580,4814.038
20,1659,1.845259,106176,318528,119.016,4300.326,0.0002514379108798054,163.78,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.845269,0.443034,0.005371,0.444499,0.005371,0.201172,0.1,68.502,62.0,"[0.2012, 0.4097, 0.5967, 0.7505, 0.8442, 0.9458, 1.0, 1.0, 1.0, 1.0]",0.201172,62.4448,62.0,0.0,2048,6144,24.69,74.1,1659,4964.93
21,1738,1.84478,111232,333696,123.359,4423.684,0.00023029004090290063,224.64,4131200,Salsa2-GatedUT,b3eb9775e8c0d955,0,1.844896,0.448893,0.001953,0.349447,0.001953,0.126953,0.1,121.9238,123.0,"[0.127, 0.2144, 0.3174, 0.4097, 0.5127, 0.6035, 0.7085, 0.8135, 0.9141, 1.0]",0.212891,62.1777,62.0,0.0,2048,6144,25.145,75.4,1738,5120.365
