epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,compute_seconds,step,wall_time_sec
0,79,2.800098,5056,15168,120.676,121.199,0.0002,430.27,4131200,Salsa2-GatedUT,2d841466856ee16d,0,2.014552,0.431803,0.000977,0.311035,0.000977,0.123535,0.1,127.0093,100.5,"[0.1235, 0.2661, 0.4053, 0.5, 0.5688, 0.6406, 0.6875, 0.6914, 0.6963, 1.0]",0.125488,120.29,91.0,0.301758,2048,6144,41.897,125.7,120.676,79,157.198
1,158,1.928793,10112,30336,117.178,269.16,0.0003975,417.94,4131200,Salsa2-GatedUT,2d841466856ee16d,0,1.879494,0.439779,0.003906,0.358561,0.003906,0.127441,0.1,119.8442,121.0,"[0.1274, 0.2358, 0.334, 0.4238, 0.5229, 0.6206, 0.7256, 0.8096, 0.9072, 1.0]",0.220215,61.625,60.0,0.0,2048,6144,42.513,127.5,237.854,158,434.115
2,237,1.876101,15168,45504,127.802,556.79,0.0004999539510598749,418.02,4131200,Salsa2-GatedUT,2d841466856ee16d,0,1.869767,0.452962,0.007324,0.452962,0.007324,0.133789,0.1,117.8164,115.5,"[0.1338, 0.2407, 0.3428, 0.439, 0.5425, 0.6338, 0.7202, 0.8267, 0.9199, 1.0]",0.213867,61.271,60.0,0.0,2048,6144,41.482,124.4,365.656,237,596.508
3,316,1.864792,20224,60672,199.69,790.972,0.0004995475045550157,355.2,4131200,Salsa2-GatedUT,2d841466856ee16d,0,1.864007,0.442871,0.003418,0.422201,0.003418,0.162109,0.1,82.2065,72.0,"[0.1621, 0.3467, 0.5249, 0.6631, 0.7559, 0.8721, 0.939, 0.9644, 0.9849, 1.0]",0.177246,64.5259,65.0,0.0,2048,6144,35.773,107.3,565.346,316,827.33
4,395,1.85716,25280,75840,108.076,930.179,0.0004987220093785903,414.98,4131200,Salsa2-GatedUT,2d841466856ee16d,0,1.861456,0.43929,0.001953,0.441243,0.001953,0.198242,0.1,64.4805,65.0,"[0.1982, 0.3789, 0.5859, 0.7886, 0.9683, 1.0, 1.0, 1.0, 1.0, 1.0]",0.198242,64.2827,65.0,0.0,2048,6144,37.54,112.6,673.422,395,965.729
5,474,1.854182,30336,91008,110.181,1070.68,0.0004974788545132255,370.89,4131200,Salsa2-GatedUT,2d841466856ee16d,0,1.858983,0.441895,0.004395,0.441243,0.004395,0.20166,0.1,64.0293,65.0,"[0.2017, 0.3828, 0.585, 0.7856, 0.9976, 1.0, 1.0, 1.0, 1.0, 1.0]",0.20166,64.0269,65.0,0.0,2048,6144,38.714,116.1,783.603,474,1105.588
6,553,1.85831,35392,106176,285.76,1386.119,0.0004958201316979885,415.19,4131200,Salsa2-GatedUT,2d841466856ee16d,0,1.850942,0.448079,0.00293,0.444499,0.00293,0.143555,0.1,96.4873,84.0,"[0.1436, 0.2964, 0.4502, 0.5684, 0.6753, 0.7861, 0.8638, 0.9087, 0.9546, 1.0]",0.188965,64.4097,64.0,0.0,2048,6144,33.096,99.3,1069.363,553,1423.063
7,632,1.851076,40448,121344,116.72,1534.567,0.0004937486319088157,417.79,4131200,Salsa2-GatedUT,2d841466856ee16d,0,1.853673,0.441243,0.004395,0.439941,0.004395,0.205078,0.1,101.8799,100.5,"[0.2051, 0.3164, 0.4038, 0.5, 0.5981, 0.7031, 0.7998, 0.9077, 1.0, 1.0]",0.205078,62.6675,63.0,0.0,2048,6144,34.102,102.3,1186.084,632,1570.708
8,711,1.857256,45504,136512,115.385,1680.754,0.0004912678406624013,355.34,4131200,Salsa2-GatedUT,2d841466856ee16d,0,1.846516,0.446452,0.005859,0.453125,0.005859,0.120605,0.1,121.249,119.0,"[0.1206, 0.2222, 0.3286, 0.4224, 0.5298, 0.6226, 0.7051, 0.8076, 0.9019, 1.0]",0.21875,61.478,60.0,0.0,2048,6144,34.964,104.9,1301.468,711,1717.311
9,790,1.851061,50560,151680,116.505,1828.6,0.0004883819321514486,296.5,4131200,Salsa2-GatedUT,2d841466856ee16d,0,1.854583,0.441081,0.003418,0.439941,0.003418,0.178223,0.1,70.9141,66.0,"[0.1782, 0.3843, 0.5732, 0.7334, 0.8374, 0.9492, 0.999, 1.0, 1.0, 1.0]",0.178223,64.8452,66.0,0.0,2048,6144,35.657,107.0,1417.973,790,1864.955
10,869,1.849128,55616,166848,116.888,1976.5,0.0004850957622211502,255.33,4131200,Salsa2-GatedUT,2d841466856ee16d,0,1.854152,0.443848,0.004883,0.350586,0.004883,0.121094,0.1,122.4307,124.5,"[0.1211, 0.2261, 0.3218, 0.4087, 0.5044, 0.6016, 0.7061, 0.8047, 0.9106, 1.0]",0.210449,61.7495,60.0,0.0,2048,6144,36.235,108.7,1534.861,869,2012.506
11,948,1.850007,60672,182016,115.907,2123.078,0.00048141486019871754,174.78,4131200,Salsa2-GatedUT,2d841466856ee16d,0,1.850244,0.442708,0.004395,0.439941,0.004395,0.205078,0.1,101.8799,100.5,"[0.2051, 0.3164, 0.4038, 0.5, 0.5981, 0.7031, 0.7998, 0.9077, 1.0, 1.0]",0.205078,62.6675,63.0,0.0,2048,6144,36.754,110.3,1650.769,948,2159.515
12,1027,1.853856,65728,197184,118.427,2272.608,0.0004773454195897046,196.57,4131200,Salsa2-GatedUT,2d841466856ee16d,0,1.852614,0.443197,0.002441,0.440755,0.002441,0.183105,0.1,71.5752,65.0,"[0.1831, 0.3867, 0.5767, 0.7246, 0.8262, 0.9346, 1.0, 1.0, 1.0, 1.0]",0.183105,64.6787,65.0,0.0,2048,6144,37.151,111.5,1769.196,1027,2306.002
13,1106,1.849456,70784,212352,109.724,2410.383,0.00047289428765678215,169.71,4131200,Salsa2-GatedUT,2d841466856ee16d,0,1.847997,0.447754,0.003418,0.439779,0.003418,0.178223,0.1,70.5947,66.0,"[0.1782, 0.3848, 0.5767, 0.7373, 0.8389, 0.9512, 1.0, 1.0, 1.0, 1.0]",0.178223,64.7002,66.0,0.0,2048,6144,37.673,113.0,1878.92,1106,2448.668
14,1185,1.848193,75840,227520,131.21,2574.542,0.0004680689538984971,232.31,4131200,Salsa2-GatedUT,2d841466856ee16d,0,1.851455,0.442057,0.002441,0.45166,0.002441,0.114258,0.1,122.7021,120.5,"[0.1143, 0.2192, 0.3208, 0.417, 0.5244, 0.6123, 0.7007, 0.7983, 0.8979, 1.0]",0.216309,61.4951,60.0,0.0,2048,6144,37.729,113.2,2010.13,1185,2609.651
