epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,compute_seconds,step,wall_time_sec
0,79,2.659327,5056,15168,42.767,42.977,0.0002,365.45,4241288,Salsa2-NACT,fe1eb2fe2ddc949a,456,2.029437,0.448568,0.003418,0.431803,0.003418,0.192871,0.1,100.4453,82.5,"[0.1929, 0.3569, 0.4717, 0.5654, 0.6504, 0.7251, 0.811, 0.8701, 0.8965, 1.0]",0.193848,80.374,67.0,0.102539,2048,6144,118.221,354.7,42.767,79,59.721
1,158,1.944874,10112,30336,41.079,95.536,0.0003975,370.3,4241288,Salsa2-NACT,fe1eb2fe2ddc949a,456,1.934045,0.443522,0.003906,0.427246,0.003906,0.187012,0.1,75.1484,68.0,"[0.187, 0.3872, 0.5562, 0.7231, 0.8184, 0.9185, 0.957, 0.9707, 0.9868, 1.0]",0.200195,62.6064,62.0,0.0,2048,6144,120.602,361.8,83.846,158,111.713
2,237,1.881767,15168,45504,40.939,147.362,0.0004990932474140245,364.13,4241288,Salsa2-NACT,fe1eb2fe2ddc949a,456,1.86984,0.442708,0.004883,0.44401,0.004883,0.204102,0.1,69.1733,63.0,"[0.2041, 0.4106, 0.6094, 0.7363, 0.8306, 0.9341, 1.0, 1.0, 1.0, 1.0]",0.204102,62.2012,63.0,0.0,2048,6144,121.554,364.7,124.785,237,163.075
3,316,1.851077,20224,60672,39.158,196.945,0.000491135059176067,369.44,4241288,Salsa2-NACT,fe1eb2fe2ddc949a,456,1.765258,0.550781,0.011719,0.507324,0.011719,0.404785,0.1,49.5659,32.0,"[0.4048, 0.6953, 0.8315, 0.8794, 0.9014, 0.918, 0.9395, 0.959, 0.9688, 1.0]",0.436035,36.1519,30.0,0.0,2048,6144,123.361,370.1,163.942,316,213.832
4,395,1.604503,25280,75840,42.152,250.696,0.00047522039359225454,378.7,4241288,Salsa2-NACT,fe1eb2fe2ddc949a,456,1.537317,0.647786,0.013184,0.566895,0.013184,0.513672,0.1,34.9009,25.0,"[0.5137, 0.8521, 0.9473, 0.958, 0.958, 0.958, 0.9614, 0.9634, 0.9639, 1.0]",0.549805,25.8501,23.0,0.0,2048,6144,122.662,368.0,206.094,395,266.511
5,474,1.514174,30336,91008,44.09,305.313,0.00045187546108519993,375.64,4241288,Salsa2-NACT,fe1eb2fe2ddc949a,456,1.495415,0.660807,0.011719,0.538411,0.011719,0.570801,0.1,34.0024,22.0,"[0.5708, 0.9058, 0.9478, 0.9482, 0.9482, 0.9482, 0.9487, 0.9487, 0.9502, 1.0]",0.620605,22.0796,20.0,0.0,2048,6144,121.255,363.8,250.184,474,320.543
6,553,1.494327,35392,106176,40.297,355.59,0.0004218721501206523,382.24,4241288,Salsa2-NACT,fe1eb2fe2ddc949a,456,1.49368,0.661947,0.015625,0.50765,0.015625,0.546875,0.1,33.1245,22.0,"[0.5469, 0.8813, 0.9521, 0.9565, 0.958, 0.958, 0.9585, 0.959, 0.9624, 1.0]",0.584473,23.7104,20.0,0.0,2048,6144,121.839,365.5,290.481,553,371.064
7,632,1.475754,40448,121344,39.931,405.723,0.0003862025051031447,384.04,4241288,Salsa2-NACT,fe1eb2fe2ddc949a,456,1.460674,0.66569,0.017578,0.586263,0.017578,0.689941,0.1,25.0894,18.0,"[0.6899, 0.9561, 0.9741, 0.9741, 0.9741, 0.9741, 0.9741, 0.9741, 0.9741, 1.0]",0.71582,18.9121,17.0,0.0,2048,6144,122.417,367.3,330.412,632,421.089
8,711,1.453948,45504,136512,37.39,453.251,0.0003460459249261226,356.21,4241288,Salsa2-NACT,fe1eb2fe2ddc949a,456,1.420653,0.670085,0.024902,0.610352,0.024902,0.808105,0.1,18.1177,12.0,"[0.8081, 0.9683, 0.9863, 0.9873, 0.9873, 0.9878, 0.9878, 0.9878, 0.9878, 1.0]",0.820312,15.2065,12.0,0.0,2048,6144,123.719,371.2,367.801,711,469.147
9,790,1.410454,50560,151680,37.716,501.595,0.00030273016674001743,365.33,4241288,Salsa2-NACT,fe1eb2fe2ddc949a,456,1.388103,0.672852,0.03125,0.597982,0.03125,0.788574,0.1,18.7715,11.0,"[0.7886, 0.9419, 0.981, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9868, 1.0]",0.801758,15.5322,10.0,0.0,2048,6144,124.68,374.0,405.517,790,517.196
10,869,1.343269,55616,166848,37.93,549.847,0.00025768744432908117,365.02,4241288,Salsa2-NACT,fe1eb2fe2ddc949a,456,1.256269,0.682129,0.061035,0.655924,0.061035,0.939453,0.1,11.4053,6.0,"[0.9395, 0.9824, 0.9854, 0.9854, 0.9854, 0.9854, 0.9854, 0.9858, 0.9858, 1.0]",0.953613,8.0,6.0,0.0,2048,6144,125.418,376.3,443.447,869,566.148
