section,label,field,expected,replayed,matches,metric,value
replay_check,nact_f_n12,exact_recovery,True,True,True,,
replay_check,nact_f_n12,coordinate_accuracy,1.0,1.0,True,,
replay_check,nact_f_n12,hamming_distance,0,0,True,,
replay_check,nact_f_n12,successful_k,8,8,True,,
replay_check,nact_f_n12,verification_passed,True,True,True,,
replay_check,nact_f_n12,parameter_count,4238208,4238208,True,,
replay_check,nact_f_n20,exact_recovery,True,True,True,,
replay_check,nact_f_n20,coordinate_accuracy,1.0,1.0,True,,
replay_check,nact_f_n20,hamming_distance,0,0,True,,
replay_check,nact_f_n20,successful_k,8,8,True,,
replay_check,nact_f_n20,verification_passed,True,True,True,,
replay_check,nact_f_n20,parameter_count,4238208,4238208,True,,
result,nact_f_n12,,,,,parameter_count,4238208
result,nact_f_n12,,,,,coordinate_accuracy,1.0
result,nact_f_n12,,,,,hamming_distance,0
result,nact_f_n12,,,,,exact_recovery,True
result,nact_f_n12,,,,,verification_passed,True
result,nact_f_n12,,,,,probe_decode_validity,1.0
result,nact_f_n12,,,,,runtime_seconds,1.1944
result,nact_f_n20,,,,,parameter_count,4238208
result,nact_f_n20,,,,,coordinate_accuracy,1.0
result,nact_f_n20,,,,,hamming_distance,0
result,nact_f_n20,,,,,exact_recovery,True
result,nact_f_n20,,,,,verification_passed,True
result,nact_f_n20,,,,,probe_decode_validity,1.0
result,nact_f_n20,,,,,runtime_seconds,1.5947
