epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,compute_seconds,step,wall_time_sec
0,79,2.804144,5056,15168,60.509,60.792,0.0002,404.19,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,2.075436,0.445475,0.000977,0.357422,0.000977,0.024902,0.1,222.3784,251.0,"[0.0249, 0.0508, 0.0806, 0.1021, 0.1221, 0.1396, 0.1611, 0.1738, 0.1836, 1.0]",0.031738,215.7378,251.0,0.80957,2048,6144,83.558,250.7,60.509,79,80.607
1,158,1.94901,10112,30336,59.32,135.208,0.0003975,391.17,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,1.877381,0.450195,0.003906,0.448405,0.003906,0.107422,0.1,124.3608,124.0,"[0.1074, 0.2085, 0.3081, 0.4141, 0.5059, 0.6089, 0.7036, 0.7993, 0.8892, 1.0]",0.218262,62.0288,62.0,0.0,2048,6144,84.387,253.2,119.828,158,153.944
2,237,1.876775,15168,45504,63.843,213.075,0.0004990932474140245,384.05,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,1.868254,0.44043,0.004883,0.441569,0.004883,0.19873,0.1,63.4771,63.0,"[0.1987, 0.3931, 0.603, 0.7896, 0.9873, 1.0, 1.0, 1.0, 1.0, 1.0]",0.19873,63.4321,63.0,0.0,2048,6144,82.582,247.7,183.671,237,233.081
3,316,1.859083,20224,60672,59.862,288.249,0.000491135059176067,390.78,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,1.840359,0.477376,0.004883,0.483887,0.004883,0.282227,0.1,77.9497,54.0,"[0.2822, 0.4775, 0.5986, 0.6855, 0.7485, 0.7925, 0.8491, 0.9258, 1.0, 1.0]",0.282227,50.458,46.0,0.0,2048,6144,83.044,249.1,243.533,316,307.519
4,395,1.752487,25280,75840,57.048,359.86,0.00047522039359225454,377.32,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,1.619037,0.613607,0.012695,0.539062,0.012695,0.505859,0.1,37.6069,25.0,"[0.5059, 0.8286, 0.9229, 0.9404, 0.9409, 0.9414, 0.9434, 0.9575, 0.9873, 1.0]",0.518555,27.6318,25.0,0.0,2048,6144,84.104,252.3,300.581,395,378.195
5,474,1.540263,30336,91008,55.177,428.671,0.00045187546108519993,410.87,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,1.51205,0.655111,0.010742,0.556641,0.010742,0.520508,0.1,45.2617,24.0,"[0.5205, 0.8281, 0.8931, 0.8945, 0.895, 0.8955, 0.896, 0.9009, 0.9355, 1.0]",0.584961,23.9976,21.0,0.0,2048,6144,85.271,255.8,355.758,474,446.713
6,553,1.504684,35392,106176,55.637,497.639,0.0004218721501206523,410.49,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,1.488185,0.661133,0.012695,0.556803,0.012695,0.580078,0.1,34.2148,22.0,"[0.5801, 0.9102, 0.9468, 0.9468, 0.9468, 0.9468, 0.9468, 0.9468, 0.9478, 1.0]",0.632324,21.8608,20.0,0.0,2048,6144,86.029,258.1,411.395,553,516.637
7,632,1.489765,40448,121344,51.308,563.223,0.0003862025051031447,382.48,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,1.488608,0.661133,0.015625,0.553548,0.015625,0.606445,0.1,31.8027,21.0,"[0.6064, 0.9224, 0.9521, 0.9521, 0.9521, 0.9521, 0.9521, 0.9521, 0.9531, 1.0]",0.65332,20.8535,19.0,0.0,2048,6144,87.417,262.3,462.703,632,583.194
8,711,1.485706,45504,136512,52.085,630.452,0.0003460459249261226,392.22,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,1.478602,0.6639,0.013672,0.527995,0.013672,0.586426,0.1,28.8809,21.0,"[0.5864, 0.9268, 0.9717, 0.9717, 0.9717, 0.9717, 0.9717, 0.9717, 0.9717, 1.0]",0.614746,22.2061,19.0,0.0,2048,6144,88.394,265.2,514.788,711,648.55
9,790,1.461053,50560,151680,52.76,696.596,0.00030273016674001743,395.1,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,1.448937,0.664225,0.012695,0.578288,0.012695,0.714355,0.1,23.2915,16.0,"[0.7144, 0.9556, 0.9761, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.978, 1.0]",0.736328,18.0708,15.0,0.0,2048,6144,89.085,267.3,567.548,790,714.387
10,869,1.395941,55616,166848,53.083,762.758,0.00025768744432908117,405.79,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,1.334447,0.677083,0.042969,0.639648,0.042969,0.954102,0.1,12.791,7.0,"[0.9541, 0.9766, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 1.0]",0.972656,8.4258,7.0,0.0,2048,6144,89.612,268.8,620.632,869,782.079
11,948,1.264058,60672,182016,57.182,834.552,0.00021240707268209953,402.83,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,1.192613,0.67985,0.051758,0.654622,0.051758,0.968262,0.1,9.8096,5.0,"[0.9683, 0.9849, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 1.0]",0.981934,6.5352,5.0,0.0,2048,6144,89.511,268.5,677.813,948,852.627
12,1027,1.144076,65728,197184,52.577,900.486,0.0001683862245404622,387.73,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,1.115977,0.688477,0.07373,0.673177,0.07373,0.982422,0.1,8.25,4.0,"[0.9824, 0.9849, 0.9854, 0.9854, 0.9854, 0.9854, 0.9854, 0.9854, 0.9854, 1.0]",0.99707,4.8145,4.0,0.0,2048,6144,89.99,270.0,730.39,1027,918.789
13,1106,1.092141,70784,212352,51.193,965.267,0.00012708042713359082,376.34,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,1.067077,0.687826,0.071777,0.667969,0.071777,0.991211,0.1,6.0493,4.0,"[0.9912, 0.9927, 0.9927, 0.9927, 0.9927, 0.9927, 0.9927, 0.9927, 0.9927, 1.0]",0.998535,4.2939,3.0,0.0,2048,6144,90.565,271.7,781.584,1106,983.879
14,1185,1.049654,75840,227520,52.273,1031.431,8.985543590229906e-05,395.51,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,1.03728,0.694824,0.093262,0.673177,0.093262,0.988281,0.1,6.543,3.0,"[0.9883, 0.9893, 0.9893, 0.9893, 0.9893, 0.9893, 0.9893, 0.9893, 0.9893, 1.0]",0.999023,4.0146,3.0,0.0,2048,6144,90.951,272.9,833.857,1185,1049.815
15,1264,1.019259,80896,242688,60.027,1105.123,5.794207648124534e-05,389.12,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,1.01412,0.697591,0.097656,0.681152,0.097656,0.987305,0.1,6.7266,3.0,"[0.9873, 0.9873, 0.9873, 0.9873, 0.9873, 0.9873, 0.9873, 0.9873, 0.9873, 1.0]",1.0,3.6875,3.0,0.0,2048,6144,90.499,271.5,893.884,1264,1126.914
16,1343,1.001562,85952,257856,68.887,1191.137,3.239554806764178e-05,376.46,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,0.99761,0.694824,0.095703,0.684733,0.095703,0.992676,0.1,5.2114,3.0,"[0.9927, 0.9927, 0.9927, 0.9927, 0.9927, 0.9927, 0.9927, 0.9927, 0.9927, 1.0]",1.0,3.457,3.0,0.0,2048,6144,89.276,267.8,962.771,1343,1213.915
17,1422,0.979848,91008,273024,66.187,1275.429,1.4060533789890816e-05,404.09,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,0.98175,0.697591,0.097656,0.682943,0.097656,0.987305,0.1,6.3359,3.0,"[0.9873, 0.9873, 0.9873, 0.9873, 0.9873, 0.9873, 0.9873, 0.9873, 0.9873, 1.0]",1.0,3.2715,3.0,0.0,2048,6144,88.447,265.3,1028.958,1422,1296.967
18,1501,0.97665,96064,288192,63.541,1355.825,3.5432716842798603e-06,373.21,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,0.977375,0.699707,0.104004,0.684733,0.104004,0.985352,0.1,6.7471,3.0,"[0.9854, 0.9854, 0.9854, 0.9854, 0.9854, 0.9854, 0.9854, 0.9854, 0.9854, 1.0]",1.0,3.208,3.0,0.0,2048,6144,87.93,263.8,1092.5,1501,1377.254
19,1563,0.975074,100032,300096,51.669,1424.242,1e-06,410.81,4238208,Salsa2-NACT,bbf51d2d5d8182c5,0,0.976393,0.699544,0.103516,0.685059,0.103516,0.986328,0.1,6.5093,3.0,"[0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 1.0]",1.0,3.2075,3.0,0.0,2048,6144,87.428,262.3,1144.168,1563,1446.18
