section,metric,v1,full_nact,nact_f,delta_f_minus_full,relative_change_percent,three_sigma_band_full_nact,resolvable_at_one_seed,input_type,nnz,model,acc_tau,acc_tau_best_constant_predictor,acc_tau_minus_best_constant,decode_validity,exact_accuracy
learning,Validation loss (nats),1.741287,0.938798,0.989069,0.050270999999999955,5.354826064819051,0.0696,False,,,,,,,,
learning,SALSA acc_tau,0.35498,0.983887,0.983887,0.0,0.0,0.0063,False,,,,,,,,
learning,Exact integer accuracy,0.007812,0.101074,0.091309,-0.009764999999999996,-9.661238300651004,0.0276,False,,,,,,,,
learning,Token accuracy,0.532389,0.69694,0.693359,-0.0035810000000000564,-0.5138175452693282,,,,,,,,,,
learning,Greedy token accuracy,0.453125,0.682454,0.677083,-0.005371000000000015,-0.7870127510425632,,,,,,,,,,
learning,Perfect accuracy,0.007812,0.101074,0.091309,-0.009764999999999996,-9.661238300651004,,,,,,,,,,
learning,Decode failure rate,0.0,0.0,0.0,0.0,,,,,,,,,,,
learning,Mean |b - b_hat|,63.4736,6.6875,7.1465,0.45899999999999963,6.863551401869153,,,,,,,,,,
learning,Median |b - b_hat|,38.0,2.0,3.0,1.0,50.0,,,,,,,,,,
sparsity,,,,,,,,,training_distribution,12,v1,0.3623046875,0.2216796875,0.140625,1.0,0.01220703125
sparsity,,,,,,,,,sparse_random,12,v1,0.3544921875,0.2236328125,0.130859375,1.0,0.00830078125
sparsity,,,,,,,,,sparse_random,10,v1,0.33447265625,0.2353515625,0.09912109375,0.99853515625,0.00830078125
sparsity,,,,,,,,,sparse_random,8,v1,0.29248046875,0.220703125,0.07177734375,0.998046875,0.00537109375
sparsity,,,,,,,,,sparse_random,6,v1,0.22900390625,0.28173828125,-0.052734375,0.98779296875,0.005859375
sparsity,,,,,,,,,sparse_random,4,v1,0.17431640625,0.35302734375,-0.1787109375,0.951171875,0.00439453125
sparsity,,,,,,,,,sparse_random,2,v1,0.08154296875,0.45458984375,-0.373046875,0.779296875,0.001953125
sparsity,,,,,,,,,sparse_random,1,v1,0.0283203125,0.50830078125,-0.47998046875,0.5302734375,0.0009765625
sparsity,,,,,,,,,probe_K_times_e_i,1,v1,0.041666666666666664,0.48333333333333334,-0.44166666666666665,0.4166666666666667,0.0
sparsity,,,,,,,,,training_distribution,12,full,0.9888,0.2217,0.7671,1.0,0.1104
sparsity,,,,,,,,,sparse_random,12,full,0.9878,0.2236,0.7642,1.0,0.1108
sparsity,,,,,,,,,sparse_random,10,full,0.9756,0.2354,0.7402,1.0,0.1074
sparsity,,,,,,,,,sparse_random,8,full,0.9438,0.2207,0.7231,1.0,0.1084
sparsity,,,,,,,,,sparse_random,6,full,0.8696,0.2817,0.5879,1.0,0.104
sparsity,,,,,,,,,sparse_random,4,full,0.7773,0.353,0.4243,1.0,0.1074
sparsity,,,,,,,,,sparse_random,2,full,0.6704,0.4546,0.2158,1.0,0.0972
sparsity,,,,,,,,,sparse_random,1,full,0.6279,0.5083,0.1196,1.0,0.0903
sparsity,,,,,,,,,probe_K_times_e_i,1,full,0.6,0.4833,0.1167,1.0,0.0833
sparsity,,,,,,,,,training_distribution,12,f,0.98681640625,0.2216796875,0.76513671875,1.0,0.1064453125
sparsity,,,,,,,,,sparse_random,12,f,0.98876953125,0.2236328125,0.76513671875,1.0,0.0869140625
sparsity,,,,,,,,,sparse_random,10,f,0.974609375,0.2353515625,0.7392578125,1.0,0.0947265625
sparsity,,,,,,,,,sparse_random,8,f,0.94287109375,0.220703125,0.72216796875,1.0,0.09423828125
sparsity,,,,,,,,,sparse_random,6,f,0.8798828125,0.28173828125,0.59814453125,1.0,0.0908203125
sparsity,,,,,,,,,sparse_random,4,f,0.78759765625,0.35302734375,0.4345703125,1.0,0.08984375
sparsity,,,,,,,,,sparse_random,2,f,0.64404296875,0.45458984375,0.189453125,1.0,0.06591796875
sparsity,,,,,,,,,sparse_random,1,f,0.564453125,0.50830078125,0.05615234375,1.0,0.044921875
sparsity,,,,,,,,,probe_K_times_e_i,1,f,0.5333333333333333,0.48333333333333334,0.04999999999999999,1.0,0.016666666666666666
