epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,compute_seconds,step,wall_time_sec
0,79,2.775263,5056,15168,53.011,53.243,0.0002,367.38,4238208,Salsa2-NACT,f148ac749a6db162,0,2.093127,0.436361,0.0,0.34082,0.0,0.0,0.1,251.0,251.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0,251.0,251.0,1.0,2048,6144,95.376,286.1,53.011,79,72.622
1,158,1.954443,10112,30336,51.854,119.241,0.0003975,379.88,4238208,Salsa2-NACT,f148ac749a6db162,0,1.893013,0.446777,0.004395,0.447103,0.004395,0.157227,0.1,112.8696,109.0,"[0.1572, 0.2554, 0.3618, 0.4614, 0.5552, 0.6465, 0.7466, 0.8511, 0.9473, 1.0]",0.209961,61.7734,62.0,0.0,2048,6144,96.429,289.3,104.865,158,136.321
2,237,1.882182,15168,45504,49.223,180.34,0.0004990932474140245,391.46,4238208,Salsa2-NACT,f148ac749a6db162,0,1.862759,0.453288,0.006836,0.442546,0.006836,0.197754,0.1,69.1318,65.0,"[0.1978, 0.3892, 0.5874, 0.7427, 0.8481, 0.9473, 1.0, 1.0, 1.0, 1.0]",0.197754,63.4321,65.0,0.0,2048,6144,98.437,295.3,154.088,237,197.866
3,316,1.813034,20224,60672,47.932,240.55,0.000491135059176067,388.91,4238208,Salsa2-NACT,f148ac749a6db162,0,1.715894,0.543945,0.010742,0.507487,0.010742,0.322754,0.1,64.5127,41.0,"[0.3228, 0.5884, 0.7373, 0.814, 0.8433, 0.8516, 0.873, 0.9102, 0.9595, 1.0]",0.363281,40.3413,35.0,0.0,2048,6144,100.109,300.3,202.02,316,258.009
4,395,1.594032,25280,75840,49.522,302.292,0.00047522039359225454,361.41,4238208,Salsa2-NACT,f148ac749a6db162,0,1.513552,0.650228,0.006836,0.593424,0.006836,0.550781,0.1,39.3457,22.0,"[0.5508, 0.8672, 0.9082, 0.9102, 0.9102, 0.9102, 0.9116, 0.9399, 0.9771, 1.0]",0.57373,24.0986,22.0,0.0,2048,6144,100.5,301.5,251.542,395,319.862
5,474,1.515571,30336,91008,47.26,361.92,0.00045187546108519993,386.49,4238208,Salsa2-NACT,f148ac749a6db162,0,1.508169,0.658529,0.014648,0.562012,0.014648,0.504395,0.1,54.6372,25.0,"[0.5044, 0.7759, 0.8403, 0.8452, 0.8452, 0.8452, 0.8452, 0.8613, 0.9185, 1.0]",0.585938,23.9902,21.0,0.0,2048,6144,101.526,304.6,298.801,474,380.516
6,553,1.492286,35392,106176,47.891,423.2,0.0004218721501206523,386.39,4238208,Salsa2-NACT,f148ac749a6db162,0,1.490067,0.661133,0.013672,0.524577,0.013672,0.513184,0.1,43.0854,24.5,"[0.5132, 0.8208, 0.9028, 0.9077, 0.9077, 0.9077, 0.9102, 0.9106, 0.9468, 1.0]",0.566406,24.7012,22.0,0.0,2048,6144,102.085,306.3,346.692,553,440.491
7,632,1.485616,40448,121344,51.764,487.078,0.0003862025051031447,374.95,4238208,Salsa2-NACT,f148ac749a6db162,0,1.481681,0.662435,0.019531,0.564941,0.019531,0.608398,0.1,33.0005,21.0,"[0.6084, 0.9004, 0.9468, 0.9473, 0.9473, 0.9473, 0.9478, 0.9482, 0.9531, 1.0]",0.655273,21.2319,19.0,0.0,2048,6144,101.512,304.5,398.456,632,504.662
8,711,1.476168,45504,136512,45.584,545.015,0.0003460459249261226,388.62,4238208,Salsa2-NACT,f148ac749a6db162,0,1.461631,0.660482,0.012695,0.601074,0.012695,0.685059,0.1,27.3896,17.0,"[0.6851, 0.9351, 0.9619, 0.9619, 0.9619, 0.9619, 0.9619, 0.9619, 0.9624, 1.0]",0.722656,18.5781,16.0,0.0,2048,6144,102.477,307.4,444.04,711,562.894
9,790,1.460253,50560,151680,50.416,608.112,0.00030273016674001743,354.5,4238208,Salsa2-NACT,f148ac749a6db162,0,1.448391,0.664225,0.018555,0.610352,0.018555,0.722656,0.1,28.606,15.0,"[0.7227, 0.9326, 0.9468, 0.9473, 0.9473, 0.9473, 0.9473, 0.9473, 0.9517, 1.0]",0.770996,16.7017,14.0,0.0,2048,6144,102.254,306.8,494.456,790,626.789
10,869,1.420829,55616,166848,48.408,669.966,0.00025768744432908117,392.45,4238208,Salsa2-NACT,f148ac749a6db162,0,1.37373,0.671387,0.034668,0.604655,0.034668,0.859863,0.1,21.2778,10.0,"[0.8599, 0.9551, 0.959, 0.959, 0.959, 0.959, 0.959, 0.959, 0.9595, 1.0]",0.899414,12.0308,9.0,0.000977,2048,6144,102.449,307.3,542.864,869,687.325
11,948,1.309187,60672,182016,46.8,728.894,0.00021240707268209953,365.6,4238208,Salsa2-NACT,f148ac749a6db162,0,1.237677,0.673503,0.039062,0.635742,0.039062,0.953613,0.1,14.8447,6.0,"[0.9536, 0.9678, 0.9688, 0.9688, 0.9688, 0.9688, 0.9688, 0.9688, 0.9688, 1.0]",0.984863,7.5801,6.0,0.0,2048,6144,102.893,308.7,589.664,948,745.447
12,1027,1.20186,65728,197184,47.381,787.584,0.0001683862245404622,374.93,4238208,Salsa2-NACT,f148ac749a6db162,0,1.152952,0.67985,0.055664,0.652507,0.055664,0.976562,0.1,10.686,5.0,"[0.9766, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 1.0]",0.999023,5.4331,5.0,0.0,2048,6144,103.176,309.5,637.045,1027,804.349
13,1106,1.130597,70784,212352,44.512,843.623,0.00012708042713359082,384.91,4238208,Salsa2-NACT,f148ac749a6db162,0,1.098997,0.677897,0.05127,0.659017,0.05127,0.974609,0.1,10.9297,4.0,"[0.9746, 0.9746, 0.9746, 0.9746, 0.9746, 0.9746, 0.9746, 0.9746, 0.9746, 1.0]",1.0,4.9102,4.0,0.0,2048,6144,103.856,311.6,681.557,1106,861.264
14,1185,1.068374,75840,227520,45.829,901.851,8.985543590229906e-05,382.07,4238208,Salsa2-NACT,f148ac749a6db162,0,1.053783,0.689779,0.083008,0.66862,0.083008,0.981934,0.1,8.4854,3.0,"[0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 1.0]",1.0,4.2368,3.0,0.0,2048,6144,104.264,312.8,727.387,1185,918.494
15,1264,1.045302,80896,242688,45.325,958.573,5.794207648124534e-05,389.04,4238208,Salsa2-NACT,f148ac749a6db162,0,1.022529,0.689616,0.082031,0.673014,0.082031,0.980957,0.1,8.2339,3.0,"[0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 1.0]",1.0,3.7422,3.0,0.0,2048,6144,104.691,314.1,772.712,1264,975.323
16,1343,1.015626,85952,257856,38.953,1009.013,3.239554806764178e-05,351.25,4238208,Salsa2-NACT,f148ac749a6db162,0,1.013115,0.690104,0.08252,0.673014,0.08252,0.983887,0.1,7.4692,3.0,"[0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 1.0]",1.0,3.6553,3.0,0.0,2048,6144,105.896,317.7,811.665,1343,1024.605
17,1422,0.998211,91008,273024,38.119,1057.431,1.4060533789890816e-05,392.19,4238208,Salsa2-NACT,f148ac749a6db162,0,0.995325,0.693522,0.094238,0.676432,0.094238,0.978516,0.1,8.4712,3.0,"[0.9785, 0.9785, 0.9785, 0.9785, 0.9785, 0.9785, 0.9785, 0.9785, 0.9785, 1.0]",1.0,3.3794,3.0,0.0,2048,6144,107.096,321.3,849.783,1422,1072.765
18,1501,0.990978,96064,288192,38.544,1106.013,3.5432716842798603e-06,376.3,4238208,Salsa2-NACT,f148ac749a6db162,0,0.989862,0.693685,0.092773,0.677572,0.092773,0.983887,0.1,7.1387,3.0,"[0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 1.0]",1.0,3.3286,3.0,0.0,2048,6144,108.14,324.4,888.327,1501,1121.361
19,1563,0.986433,100032,300096,30.222,1146.304,1e-06,396.39,4238208,Salsa2-NACT,f148ac749a6db162,0,0.989069,0.693359,0.091309,0.677083,0.091309,0.983887,0.1,7.1465,3.0,"[0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 1.0]",1.0,3.3433,3.0,0.0,2048,6144,108.902,326.7,918.549,1563,1161.823
