section,K,separation,is_negative_control,decode_validity,recovery_margin,unique_predictions,modal_prediction,candidate,candidate_hamming_weight,coordinate_accuracy,hamming_distance,exact,metric,v1,full_nact,nact_f,std,mean_abs,fraction_within_3_sigma
per_k,1,1,True,1.0,0.044092,2,241,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.8333333333333334,2,False,,,,,,,
per_k,31,31,False,1.0,0.609323,4,238,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2,1.0,0,True,,,,,,,
per_k,63,63,False,1.0,0.724913,3,238,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2,1.0,0,True,,,,,,,
per_k,94,94,False,1.0,0.871499,6,240,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2,1.0,0,True,,,,,,,
per_k,125,125,False,1.0,0.804148,2,237,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2,1.0,0,True,,,,,,,
per_k,126,125,False,1.0,0.801386,4,237,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2,1.0,0,True,,,,,,,
per_k,157,94,False,1.0,0.730168,4,237,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2,1.0,0,True,,,,,,,
per_k,188,63,False,1.0,0.942685,5,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2,1.0,0,True,,,,,,,
per_k,220,31,False,1.0,0.896027,4,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2,1.0,0,True,,,,,,,
per_k,250,1,True,1.0,0.048706,2,241,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12,0.16666666666666666,10,False,,,,,,,
baseline,,,,,,,,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,1.0,0,True,recovered_candidate,,,,,,
baseline,,,,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,0.8333333333333334,2,False,all_zeros,,,,,,
baseline,,,,,,,,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,0.16666666666666666,10,False,all_ones,,,,,,
baseline,,,,,,,,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",,0.6666666666666666,4,False,random_weight_2,,,,,,
comparison,,,,,,,,,,,,,Trainable parameters,4131200,4241288,4238208,,,
comparison,,,,,,,,,,,,,Validation loss,1.741287,0.938798,0.989069,,,
comparison,,,,,,,,,,,,,SALSA acc_tau,0.35498,0.983887,0.983887,,,
comparison,,,,,,,,,,,,,Exact integer accuracy,0.007812,0.101074,0.091309,,,
comparison,,,,,,,,,,,,,Probe decode validity,0.4166666666666667,1.0,1.0,,,
comparison,,,,,,,,,,,,,Probe lift,-0.44166666666666665,0.1167,0.04999999999999999,,,
comparison,,,,,,,,,,,,,Exact secret recovery,NO,YES,YES,,,
comparison,,,,,,,,,,,,,K values with exact recovery,0,7,8,,,
verification,,,,,,,,,,,,,recovered_candidate,,,,2.9669792706614597,2.35498046875,0.99853515625
verification,,,,,,,,,,,,,all_zeros,,,,72.81592635889088,62.9521484375,0.07763671875
verification,,,,,,,,,,,,,all_ones,,,,72.4710791097419,62.67236328125,0.07666015625
verification,,,,,,,,,,,,,random_weight_2,,,,72.27969202282121,62.72509765625,0.06689453125
