section,n,representation,input_family,model,parameter_count,source_length,encoder_sequence_length,encoder_loops,output_shape,logits_finite,no_nan,values_reconstructed_exactly,features_finite,logit_abs_max,zero_coordinates_seen,forward_latency_ms_median,forward_throughput_samples_per_second,rss_delta_mib
validation,12,R,dense_random,,4241288,26,14,,"(8, 4, 85)",True,True,True,True,3.7076,2,,,
validation,12,R,sparse,,4241288,26,14,,"(8, 4, 85)",True,True,True,True,3.6697,72,,,
validation,12,R,nnz_1,,4241288,26,14,,"(8, 4, 85)",True,True,True,True,4.0517,88,,,
validation,12,R,probe_K_times_e_i,,4241288,26,14,,"(8, 4, 85)",True,True,True,True,4.0475,88,,,
validation,12,P,dense_random,,4241288,37,14,,"(8, 4, 85)",True,True,True,True,3.6952,2,,,
validation,12,P,sparse,,4241288,37,14,,"(8, 4, 85)",True,True,True,True,3.135,72,,,
validation,12,P,nnz_1,,4241288,37,14,,"(8, 4, 85)",True,True,True,True,2.7336,88,,,
validation,12,P,probe_K_times_e_i,,4241288,37,14,,"(8, 4, 85)",True,True,True,True,3.0731,88,,,
validation,20,R,dense_random,,4241288,42,22,,"(8, 4, 85)",True,True,True,True,3.7133,0,,,
validation,20,R,sparse,,4241288,42,22,,"(8, 4, 85)",True,True,True,True,3.4019,120,,,
validation,20,R,nnz_1,,4241288,42,22,,"(8, 4, 85)",True,True,True,True,3.9008,152,,,
validation,20,R,probe_K_times_e_i,,4241288,42,22,,"(8, 4, 85)",True,True,True,True,3.5732,152,,,
validation,20,P,dense_random,,4241288,61,22,,"(8, 4, 85)",True,True,True,True,3.9887,0,,,
validation,20,P,sparse,,4241288,61,22,,"(8, 4, 85)",True,True,True,True,3.4943,120,,,
validation,20,P,nnz_1,,4241288,61,22,,"(8, 4, 85)",True,True,True,True,3.5977,152,,,
validation,20,P,probe_K_times_e_i,,4241288,61,22,,"(8, 4, 85)",True,True,True,True,3.4209,152,,,
validation,30,R,dense_random,,4241288,62,32,,"(8, 4, 85)",True,True,True,True,3.2604,0,,,
validation,30,R,sparse,,4241288,62,32,,"(8, 4, 85)",True,True,True,True,3.393,184,,,
validation,30,R,nnz_1,,4241288,62,32,,"(8, 4, 85)",True,True,True,True,3.4833,232,,,
