epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,compute_seconds,step,wall_time_sec
0,79,2.601637,5056,15168,18.545,18.623,0.0002,867.03,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,2.013612,0.442383,0.001953,0.256999,0.001953,0.106934,0.1,148.1758,136.0,"[0.1069, 0.2319, 0.3354, 0.4189, 0.4766, 0.5317, 0.5664, 0.5664, 0.5664, 1.0]",0.106934,144.5039,111.0,0.433594,2048,6144,272.633,817.9,18.545,79,23.557
1,158,1.921789,10112,30336,18.637,41.625,0.0003975,911.36,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,1.878064,0.451172,0.003906,0.44694,0.003906,0.212402,0.1,77.3296,63.0,"[0.2124, 0.4053, 0.562, 0.6538, 0.7573, 0.8545, 0.9556, 1.0, 1.0, 1.0]",0.212402,62.5371,63.0,0.0,2048,6144,271.958,815.9,37.182,158,46.301
2,237,1.881556,15168,45504,18.961,64.602,0.0004990932474140245,789.5,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,1.875977,0.447754,0.004883,0.447591,0.004883,0.212402,0.1,76.4263,64.0,"[0.2124, 0.4043, 0.5693, 0.6621, 0.7686, 0.8623, 0.9614, 1.0, 1.0, 1.0]",0.212402,62.5825,64.0,0.0,2048,6144,270.165,810.5,56.143,237,69.466
3,316,1.863185,20224,60672,18.864,87.673,0.000491135059176067,744.27,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,1.858412,0.445801,0.002441,0.440592,0.002441,0.199707,0.1,69.772,64.0,"[0.1997, 0.3931, 0.5869, 0.731, 0.8384, 0.9414, 1.0, 1.0, 1.0, 1.0]",0.199707,63.3574,64.0,0.0,2048,6144,269.627,808.9,75.007,316,92.725
4,395,1.858755,25280,75840,19.602,111.671,0.00047522039359225454,706.31,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,1.859745,0.443522,0.003418,0.3514,0.003418,0.10791,0.1,124.9331,126.0,"[0.1079, 0.2031, 0.311, 0.4106, 0.4976, 0.5952, 0.6958, 0.8037, 0.895, 1.0]",0.212891,61.6924,62.0,0.0,2048,6144,267.203,801.6,94.61,395,116.772
5,474,1.854312,30336,91008,19.593,135.659,0.00045187546108519993,673.86,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,1.85459,0.444661,0.00293,0.441569,0.00293,0.202148,0.1,69.8916,64.0,"[0.2021, 0.4004, 0.5898, 0.7295, 0.834, 0.936, 1.0, 1.0, 1.0, 1.0]",0.202148,62.9111,64.0,0.0,2048,6144,265.632,796.9,114.203,474,140.465
6,553,1.852026,35392,106176,19.126,158.936,0.0004218721501206523,685.78,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,1.852339,0.446777,0.002441,0.455566,0.002441,0.141602,0.1,103.6318,91.0,"[0.1416, 0.2832, 0.4087, 0.542, 0.6348, 0.7222, 0.7998, 0.8672, 0.9463, 1.0]",0.195312,62.0215,62.0,0.0,2048,6144,265.448,796.3,133.329,553,163.958
7,632,1.763755,40448,121344,19.31,182.612,0.0003862025051031447,729.56,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,1.586437,0.632812,0.01123,0.510742,0.01123,0.379395,0.1,69.2085,35.0,"[0.3794, 0.6396, 0.79, 0.8247, 0.8247, 0.8252, 0.8315, 0.832, 0.8335, 1.0]",0.399414,63.8008,33.0,0.146484,2048,6144,264.99,795.0,152.64,632,187.836
8,711,1.531827,45504,136512,19.343,206.54,0.0003460459249261226,675.83,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,1.491979,0.658691,0.015625,0.609538,0.015625,0.63623,0.1,26.2749,18.0,"[0.6362, 0.9121, 0.9707, 0.9766, 0.9766, 0.9766, 0.978, 0.978, 0.978, 1.0]",0.658203,20.9878,17.0,0.0,2048,6144,264.584,793.8,171.983,711,212.134
9,790,1.475576,50560,151680,19.357,230.846,0.00030273016674001743,638.27,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,1.445616,0.667155,0.02832,0.6014,0.02832,0.755859,0.1,24.0127,13.0,"[0.7559, 0.9272, 0.9624, 0.9658, 0.9663, 0.9663, 0.9668, 0.9673, 0.9673, 1.0]",0.788574,16.1694,12.0,0.0,2048,6144,264.242,792.7,191.34,790,237.382
10,869,1.394082,55616,166848,19.295,256.03,0.00025768744432908117,710.25,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,1.324153,0.672038,0.032227,0.615072,0.032227,0.919922,0.1,15.0552,7.0,"[0.9199, 0.9712, 0.9766, 0.9766, 0.9766, 0.9766, 0.9766, 0.9766, 0.9766, 1.0]",0.943359,9.5171,7.0,0.0,2048,6144,264.04,792.1,210.635,869,260.944
11,948,1.259941,60672,182016,19.395,279.69,0.00021240707268209953,704.08,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,1.17983,0.684733,0.064941,0.657715,0.064941,0.97998,0.1,9.4673,5.0,"[0.98, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 1.0]",0.996094,5.6396,5.0,0.0,2048,6144,263.757,791.3,230.03,948,284.854
12,1027,1.147168,65728,197184,19.861,304.076,0.0001683862245404622,783.52,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,1.114463,0.68457,0.065918,0.663737,0.065918,0.97998,0.1,9.23,4.0,"[0.98, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 1.0]",0.998535,4.8374,4.0,0.0,2048,6144,263.027,789.1,249.891,1027,309.171
13,1106,1.077497,70784,212352,19.497,328.014,0.00012708042713359082,759.62,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,1.046903,0.689128,0.078125,0.672526,0.078125,0.984863,0.1,7.3809,3.0,"[0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 1.0]",1.0,3.7769,3.0,0.0,2048,6144,262.759,788.3,269.387,1106,332.991
14,1185,1.022442,75840,227520,19.782,352.128,8.985543590229906e-05,779.36,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,1.007825,0.694824,0.09375,0.676432,0.09375,0.982422,0.1,7.7305,3.0,"[0.9824, 0.9824, 0.9824, 0.9824, 0.9824, 0.9824, 0.9824, 0.9824, 0.9824, 1.0]",1.0,3.5469,3.0,0.0,2048,6144,262.269,786.8,289.169,1185,357.199
15,1264,0.996781,80896,242688,20.007,376.557,5.7942076481245316e-05,784.44,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,0.987828,0.693522,0.09082,0.675944,0.09082,0.984863,0.1,6.9487,3.0,"[0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 1.0]",1.0,3.3291,3.0,0.0,2048,6144,261.65,784.9,309.176,1264,381.629
16,1343,0.974552,85952,257856,20.043,401.02,3.239554806764178e-05,775.58,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,0.974603,0.698079,0.10498,0.681641,0.10498,0.983398,0.1,7.0762,3.0,"[0.9834, 0.9834, 0.9834, 0.9834, 0.9834, 0.9834, 0.9834, 0.9834, 0.9834, 1.0]",1.0,3.1084,3.0,0.0,2048,6144,261.078,783.2,329.22,1343,406.225
17,1422,0.960993,91008,273024,19.984,425.567,1.4060533789890816e-05,696.89,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,0.960094,0.696615,0.09668,0.680501,0.09668,0.984375,0.1,6.6919,3.0,"[0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 1.0]",1.0,2.9624,3.0,0.0,2048,6144,260.616,781.8,349.204,1422,430.831
18,1501,0.954338,96064,288192,20.322,450.509,3.5432716842798603e-06,590.42,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,0.955763,0.697103,0.100098,0.681478,0.100098,0.985352,0.1,6.4189,2.0,"[0.9854, 0.9854, 0.9854, 0.9854, 0.9854, 0.9854, 0.9854, 0.9854, 0.9854, 1.0]",1.0,2.9287,2.0,0.0,2048,6144,259.965,779.9,369.526,1501,455.766
19,1563,0.951123,100032,300096,15.476,470.602,1e-06,662.12,4241288,Salsa2-NACT,3c29b9ed3806bffa,0,0.955208,0.698893,0.10498,0.68278,0.10498,0.984863,0.1,6.5244,2.0,"[0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 1.0]",1.0,2.9165,2.0,0.0,2048,6144,259.822,779.5,385.003,1563,476.224
