epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,compute_seconds,step,wall_time_sec
0,79,2.805067,5056,15168,14.02,14.114,0.0002,797.0,4131200,Salsa2-GatedUT,1b3f32584dadf4b7,0,2.093039,0.440755,0.0,0.009115,0.0,0.000977,0.1,250.3042,251.0,"[0.001, 0.0015, 0.0015, 0.0029, 0.0034, 0.0039, 0.0039, 0.0039, 0.0039, 1.0]",0.000977,250.2891,251.0,0.996094,2048,6144,360.626,1081.9,14.02,79,18.925
1,158,1.931884,10112,30336,14.225,32.556,0.0003975,807.27,4131200,Salsa2-GatedUT,1b3f32584dadf4b7,0,1.881519,0.452637,0.005371,0.448405,0.005371,0.198242,0.1,94.5933,87.5,"[0.1982, 0.3555, 0.4487, 0.5444, 0.6387, 0.7402, 0.8447, 0.9453, 0.999, 1.0]",0.199219,62.561,61.0,0.0,2048,6144,358.013,1074.0,28.245,158,36.997
2,237,1.883317,15168,45504,13.393,49.716,0.0004990932474140245,711.53,4131200,Salsa2-GatedUT,1b3f32584dadf4b7,0,1.885413,0.448893,0.005859,0.444499,0.005859,0.204102,0.1,72.228,65.0,"[0.2041, 0.395, 0.5767, 0.7075, 0.8135, 0.9194, 0.9922, 1.0, 1.0, 1.0]",0.204102,63.4341,64.0,0.0,2048,6144,364.283,1092.8,41.638,237,54.123
3,316,1.862609,20224,60672,12.941,66.341,0.000491135059176067,721.73,4131200,Salsa2-GatedUT,1b3f32584dadf4b7,0,1.85858,0.451335,0.002441,0.440592,0.002441,0.199707,0.1,69.772,64.0,"[0.1997, 0.3931, 0.5869, 0.731, 0.8384, 0.9414, 1.0, 1.0, 1.0, 1.0]",0.199707,63.3574,64.0,0.0,2048,6144,370.549,1111.6,54.578,316,70.68
4,395,1.860744,25280,75840,12.883,82.884,0.00047522039359225454,629.3,4131200,Salsa2-GatedUT,1b3f32584dadf4b7,0,1.854685,0.441569,0.003418,0.446289,0.003418,0.133301,0.1,119.8442,118.5,"[0.1333, 0.2236, 0.3296, 0.4238, 0.5225, 0.6128, 0.7104, 0.8203, 0.9238, 1.0]",0.209473,61.6938,62.0,0.0,2048,6144,374.734,1124.2,67.461,395,87.374
5,474,1.853537,30336,91008,13.948,100.729,0.00045187546108519993,714.55,4131200,Salsa2-GatedUT,1b3f32584dadf4b7,0,1.852231,0.446452,0.00293,0.440755,0.00293,0.200684,0.1,70.3979,64.0,"[0.2007, 0.397, 0.5845, 0.7246, 0.8315, 0.9355, 1.0, 1.0, 1.0, 1.0]",0.200684,63.3223,64.0,0.0,2048,6144,372.636,1117.9,81.409,474,105.322
6,553,1.854745,35392,106176,14.141,118.791,0.0004218721501206523,776.3,4131200,Salsa2-GatedUT,1b3f32584dadf4b7,0,1.851682,0.446126,0.002441,0.44694,0.002441,0.14209,0.1,115.4253,116.0,"[0.1421, 0.251, 0.3496, 0.4448, 0.5415, 0.6323, 0.7383, 0.8369, 0.9331, 1.0]",0.208984,61.8184,61.0,0.0,2048,6144,370.401,1111.2,95.55,553,123.191
7,632,1.851535,40448,121344,13.545,136.057,0.0003862025051031447,773.45,4131200,Salsa2-GatedUT,1b3f32584dadf4b7,0,1.851698,0.451172,0.005859,0.449544,0.005859,0.134277,0.1,117.7827,115.0,"[0.1343, 0.2324, 0.3452, 0.437, 0.5356, 0.6221, 0.7222, 0.8262, 0.9307, 1.0]",0.203613,61.5684,62.0,0.0,2048,6144,370.757,1112.3,109.096,632,140.629
8,711,1.853552,45504,136512,14.552,154.457,0.0003460459249261226,747.31,4131200,Salsa2-GatedUT,1b3f32584dadf4b7,0,1.847507,0.444824,0.004395,0.449056,0.004395,0.206055,0.1,91.8833,83.0,"[0.2061, 0.3604, 0.459, 0.5664, 0.6602, 0.7539, 0.8574, 0.9497, 1.0, 1.0]",0.206055,62.1489,61.0,0.0,2048,6144,368.014,1104.0,123.647,711,158.862
9,790,1.847853,50560,151680,13.024,171.211,0.00030273016674001743,766.58,4131200,Salsa2-GatedUT,1b3f32584dadf4b7,0,1.84489,0.444987,0.005859,0.440592,0.005859,0.194824,0.1,64.4624,63.0,"[0.1948, 0.3901, 0.5869, 0.7925, 0.9438, 1.0, 1.0, 1.0, 1.0, 1.0]",0.194824,63.6602,63.0,0.0,2048,6144,369.938,1109.8,136.671,790,175.562
10,869,1.848646,55616,166848,13.97,188.855,0.00025768744432908117,753.11,4131200,Salsa2-GatedUT,1b3f32584dadf4b7,0,1.843983,0.452637,0.004883,0.453451,0.004883,0.172852,0.1,94.7114,79.0,"[0.1729, 0.3252, 0.4805, 0.5918, 0.686, 0.7681, 0.8423, 0.8965, 0.9429, 1.0]",0.22998,59.6719,59.0,0.0,2048,6144,369.195,1107.6,150.641,869,193.231
11,948,1.836807,60672,182016,13.673,206.227,0.00021240707268209953,792.44,4131200,Salsa2-GatedUT,1b3f32584dadf4b7,0,1.820489,0.486003,0.007324,0.440592,0.007324,0.225098,0.1,80.4268,63.0,"[0.2251, 0.4131, 0.5874, 0.7085, 0.7886, 0.8374, 0.8745, 0.8999, 0.9438, 1.0]",0.28125,52.9468,48.0,0.0,2048,6144,369.244,1107.7,164.314,948,211.086
12,1027,1.798136,65728,197184,13.465,223.877,0.0001683862245404622,800.05,4131200,Salsa2-GatedUT,1b3f32584dadf4b7,0,1.784549,0.508626,0.008301,0.451823,0.008301,0.329102,0.1,66.8813,43.0,"[0.3291, 0.5527, 0.6968, 0.7676, 0.8159, 0.8643, 0.8989, 0.9209, 0.959, 1.0]",0.370117,44.667,36.0,0.0,2048,6144,369.717,1109.2,177.779,1027,228.278
