epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,compute_seconds,step,wall_time_sec
0,79,2.855649,5056,15168,13.944,14.032,0.0002,735.58,4131200,Salsa2-GatedUT,abff8b08e0ef79c1,42,2.118717,0.435221,0.0,0.338542,0.0,0.0,0.1,251.0,251.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0,251.0,251.0,1.0,2048,6144,362.585,1087.8,13.944,79,18.734
1,158,1.983253,10112,30336,14.174,32.245,0.0003975,799.06,4131200,Salsa2-GatedUT,abff8b08e0ef79c1,42,1.914434,0.447428,0.004883,0.445638,0.004883,0.13916,0.1,120.2314,122.0,"[0.1392, 0.231, 0.3237, 0.4165, 0.5161, 0.6113, 0.7163, 0.8208, 0.9214, 1.0]",0.217773,61.731,61.0,0.0,2048,6144,359.628,1078.9,28.118,158,37.2
2,237,1.89301,15168,45504,14.402,50.865,0.0004990932474140245,798.88,4131200,Salsa2-GatedUT,abff8b08e0ef79c1,42,1.871077,0.446452,0.003906,0.370117,0.003906,0.114746,0.1,128.9663,128.0,"[0.1147, 0.2139, 0.3071, 0.4053, 0.4902, 0.5811, 0.6665, 0.7529, 0.8516, 1.0]",0.188965,75.7212,66.0,0.074219,2048,6144,356.725,1070.2,42.52,237,55.742
3,316,1.866889,20224,60672,14.493,69.496,0.000491135059176067,809.7,4131200,Salsa2-GatedUT,abff8b08e0ef79c1,42,1.862298,0.45166,0.00293,0.447754,0.00293,0.117676,0.1,125.1084,127.0,"[0.1177, 0.2173, 0.3047, 0.396, 0.4922, 0.584, 0.6997, 0.7974, 0.9028, 1.0]",0.214844,61.6572,61.0,0.0,2048,6144,354.724,1064.2,57.013,316,74.534
4,395,1.865677,25280,75840,14.587,88.387,0.00047522039359225454,799.03,4131200,Salsa2-GatedUT,abff8b08e0ef79c1,42,1.882059,0.440755,0.00293,0.447754,0.00293,0.117676,0.1,125.1084,127.0,"[0.1177, 0.2173, 0.3047, 0.396, 0.4922, 0.584, 0.6997, 0.7974, 0.9028, 1.0]",0.214844,61.6572,61.0,0.0,2048,6144,353.069,1059.2,71.601,395,93.283
5,474,1.86082,30336,91008,14.593,107.085,0.00045187546108519993,765.33,4131200,Salsa2-GatedUT,abff8b08e0ef79c1,42,1.855133,0.451986,0.004883,0.447103,0.004883,0.130859,0.1,122.1514,124.0,"[0.1309, 0.2246, 0.3149, 0.4087, 0.5098, 0.5972, 0.709, 0.812, 0.9126, 1.0]",0.218262,61.7041,61.0,0.0,2048,6144,351.952,1055.9,86.194,474,111.94
6,553,1.855601,35392,106176,15.523,126.736,0.0004218721501206523,779.78,4131200,Salsa2-GatedUT,abff8b08e0ef79c1,42,1.855078,0.442383,0.001953,0.348958,0.001953,0.126465,0.1,119.085,117.0,"[0.1265, 0.2334, 0.3311, 0.4424, 0.5356, 0.6289, 0.7183, 0.8047, 0.9194, 1.0]",0.207031,61.5513,61.0,0.0,2048,6144,347.948,1043.8,101.716,553,131.718
7,632,1.853051,40448,121344,15.058,146.046,0.0003862025051031447,824.58,4131200,Salsa2-GatedUT,abff8b08e0ef79c1,42,1.85318,0.44222,0.004883,0.446777,0.004883,0.138184,0.1,120.3442,123.0,"[0.1382, 0.2324, 0.3257, 0.417, 0.5195, 0.6094, 0.7168, 0.8179, 0.917, 1.0]",0.221191,61.5356,61.0,0.0,2048,6144,346.378,1039.1,116.774,632,151.32
8,711,1.849926,45504,136512,14.604,165.201,0.0003460459249261226,828.8,4131200,Salsa2-GatedUT,abff8b08e0ef79c1,42,1.855507,0.440918,0.001953,0.443034,0.001953,0.188477,0.1,70.0713,66.0,"[0.1885, 0.3779, 0.5884, 0.7461, 0.8496, 0.9468, 1.0, 1.0, 1.0, 1.0]",0.188477,64.3193,66.0,0.0,2048,6144,346.36,1039.1,131.378,711,170.103
9,790,1.853167,50560,151680,14.63,183.94,0.00030273016674001743,835.39,4131200,Salsa2-GatedUT,abff8b08e0ef79c1,42,1.858074,0.457357,0.008301,0.456543,0.008301,0.240234,0.1,69.8813,59.0,"[0.2402, 0.4424, 0.605, 0.7358, 0.8608, 0.8999, 0.9336, 0.9746, 1.0, 1.0]",0.240234,57.2939,54.0,0.0,2048,6144,346.284,1038.9,146.007,790,188.828
