epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,compute_seconds,step,wall_time_sec
0,79,2.738257,5056,15168,18.547,18.621,0.0002,395.23,4241288,Salsa2-NACT,e82134590fd5802c,456,2.045268,0.447917,0.0,0.057617,0.0,0.00293,0.1,249.0938,251.0,"[0.0029, 0.0049, 0.0068, 0.0073, 0.0088, 0.0088, 0.0103, 0.0103, 0.0103, 1.0]",0.00293,249.0054,251.0,0.989746,2048,6144,272.605,817.8,18.547,79,24.659
1,158,1.944874,10112,30336,19.205,43.301,0.0003975,570.92,4241288,Salsa2-NACT,e82134590fd5802c,456,1.920254,0.443034,0.003906,0.43457,0.003906,0.190918,0.1,72.0317,67.0,"[0.1909, 0.3804, 0.5659, 0.7505, 0.8491, 0.9463, 0.9717, 0.9824, 0.9922, 1.0]",0.19873,63.3467,64.0,0.0,2048,6144,267.853,803.6,37.752,158,48.315
2,237,1.88712,15168,45504,19.06,66.728,0.0004990932474140245,637.02,4241288,Salsa2-NACT,e82134590fd5802c,456,1.86833,0.446126,0.00293,0.431641,0.00293,0.184082,0.1,109.5957,109.0,"[0.1841, 0.2773, 0.3687, 0.4653, 0.561, 0.6621, 0.7656, 0.8638, 0.9785, 1.0]",0.205566,62.3579,63.0,0.0,2048,6144,266.984,801.0,56.812,237,71.809
3,316,1.800175,20224,60672,18.581,89.732,0.000491135059176067,649.69,4241288,Salsa2-NACT,e82134590fd5802c,456,1.660481,0.59196,0.008789,0.577148,0.008789,0.475098,0.1,40.7212,27.0,"[0.4751, 0.7632, 0.8906, 0.9214, 0.9395, 0.9453, 0.96, 0.9683, 0.9756, 1.0]",0.499512,31.6118,26.0,0.0,2048,6144,268.245,804.7,75.394,316,94.523
4,395,1.547907,25280,75840,18.493,112.35,0.00047522039359225454,660.64,4241288,Salsa2-NACT,e82134590fd5802c,456,1.502916,0.658529,0.01416,0.596354,0.01416,0.570312,0.1,33.5034,22.0,"[0.5703, 0.8916, 0.9458, 0.9512, 0.9521, 0.9551, 0.957, 0.957, 0.957, 1.0]",0.613281,23.2954,20.0,0.0,2048,6144,269.261,807.8,93.887,395,117.29
5,474,1.485198,30336,91008,18.486,135.131,0.00045187546108519993,656.02,4241288,Salsa2-NACT,e82134590fd5802c,456,1.432838,0.666667,0.024414,0.61849,0.024414,0.845703,0.1,21.4819,11.0,"[0.8457, 0.9546, 0.9614, 0.9619, 0.9619, 0.9619, 0.9619, 0.9629, 0.9639, 1.0]",0.881836,12.7612,10.0,0.0,2048,6144,269.958,809.9,112.373,474,139.945
6,553,1.343189,35392,106176,18.462,157.74,0.0004218721501206523,675.42,4241288,Salsa2-NACT,e82134590fd5802c,456,1.249256,0.673665,0.041992,0.644531,0.041992,0.960938,0.1,15.0859,6.0,"[0.9609, 0.9639, 0.9648, 0.9648, 0.9648, 0.9648, 0.9648, 0.9648, 0.9648, 1.0]",0.996094,6.8281,6.0,0.0,2048,6144,270.51,811.5,130.834,553,162.632
7,632,1.169358,40448,121344,18.508,180.474,0.0003862025051031447,676.27,4241288,Salsa2-NACT,e82134590fd5802c,456,1.127729,0.685384,0.066895,0.658366,0.066895,0.983398,0.1,8.9175,5.0,"[0.9834, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 1.0]",0.999023,5.1499,4.0,0.0,2048,6144,270.84,812.5,149.343,632,185.265
8,711,1.094414,45504,136512,18.563,203.165,0.0003460459249261226,685.22,4241288,Salsa2-NACT,e82134590fd5802c,456,1.059219,0.688151,0.083496,0.675618,0.083496,0.979492,0.1,9.2344,4.0,"[0.9795, 0.9795, 0.9795, 0.9795, 0.9795, 0.9795, 0.9795, 0.9795, 0.9795, 1.0]",1.0,4.4199,4.0,0.0,2048,6144,271.009,813.0,167.906,711,208.036
9,790,1.047732,50560,151680,18.466,225.839,0.00030273016674001743,688.81,4241288,Salsa2-NACT,e82134590fd5802c,456,1.068737,0.687174,0.067871,0.669434,0.067871,0.98877,0.1,7.1284,4.0,"[0.9888, 0.9888, 0.9888, 0.9893, 0.9902, 0.9902, 0.9907, 0.9907, 0.9907, 1.0]",0.998047,4.8696,4.0,0.0,2048,6144,271.286,813.9,186.371,790,230.664
