epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,compute_seconds,step,wall_time_sec
0,79,2.790406,5056,15168,15.101,15.168,0.0002,954.88,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.997845,0.439779,0.0,0.004883,0.0,0.0,0.1,251.0,251.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0,251.0,251.0,1.0,2048,6144,334.807,1004.4,15.101,79,19.364
1,158,1.926043,10112,30336,14.635,33.83,0.0003975,959.0,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.886824,0.441081,0.005859,0.44515,0.005859,0.203613,0.1,102.189,99.0,"[0.2036, 0.3042, 0.4067, 0.5049, 0.6011, 0.7017, 0.8066, 0.9092, 1.0, 1.0]",0.203613,62.8984,63.0,0.0,2048,6144,340.052,1020.2,29.737,158,37.874
2,237,1.877722,15168,45504,14.78,52.438,0.0004990932474140245,959.45,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.872549,0.443522,0.003418,0.447103,0.003418,0.203613,0.1,68.77,64.0,"[0.2036, 0.3955, 0.5957, 0.7471, 0.8481, 0.9478, 1.0, 1.0, 1.0, 1.0]",0.203613,63.0342,64.0,0.0,2048,6144,340.723,1022.2,44.517,237,56.507
3,316,1.864795,20224,60672,14.664,70.958,0.000491135059176067,963.89,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.8569,0.446126,0.007812,0.446615,0.007812,0.126465,0.1,120.4761,120.0,"[0.1265, 0.2192, 0.3169, 0.4219, 0.5142, 0.6191, 0.7144, 0.8237, 0.9233, 1.0]",0.203125,62.6641,63.0,0.0,2048,6144,341.733,1025.2,59.181,316,75.012
4,395,1.855437,25280,75840,14.701,89.498,0.00047522039359225454,855.44,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.852528,0.449056,0.00293,0.447591,0.00293,0.206543,0.1,70.1372,62.0,"[0.2065, 0.4072, 0.603, 0.7251, 0.8257, 0.9199, 1.0, 1.0, 1.0, 1.0]",0.206543,62.3193,62.0,0.0,2048,6144,342.167,1026.5,73.882,395,93.564
5,474,1.855939,30336,91008,14.733,108.081,0.00045187546108519993,963.97,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.856443,0.44515,0.004395,0.43571,0.004395,0.197266,0.1,100.394,96.0,"[0.1973, 0.3105, 0.417, 0.5112, 0.6167, 0.7104, 0.8184, 0.9165, 0.9912, 1.0]",0.206055,62.7578,63.0,0.0,2048,6144,342.333,1027.0,88.615,474,112.143
6,553,1.853225,35392,106176,15.092,126.988,0.0004218721501206523,963.97,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.849138,0.444499,0.003418,0.349772,0.003418,0.112793,0.1,121.6792,122.0,"[0.1128, 0.2148, 0.3208, 0.4185, 0.5142, 0.6167, 0.7148, 0.8145, 0.9087, 1.0]",0.204102,62.71,62.0,0.0,2048,6144,341.267,1023.8,103.708,553,131.347
7,632,1.855619,40448,121344,16.447,147.584,0.0003862025051031447,964.02,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.853636,0.444824,0.002441,0.444824,0.002441,0.199707,0.1,62.8247,63.0,"[0.1997, 0.4028, 0.6079, 0.8013, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.199707,62.8247,63.0,0.0,2048,6144,336.634,1009.9,120.154,632,152.336
8,711,1.851562,45504,136512,18.167,170.263,0.0003460459249261226,851.7,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.850184,0.448893,0.004395,0.444824,0.004395,0.196777,0.1,76.5767,63.0,"[0.1968, 0.397, 0.5664, 0.6616, 0.771, 0.8677, 0.9648, 1.0, 1.0, 1.0]",0.196777,63.2842,63.0,0.0,2048,6144,328.973,986.9,138.321,711,175.475
9,790,1.847958,50560,151680,19.539,194.778,0.00030273016674001743,964.11,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.847745,0.441895,0.001953,0.347819,0.001953,0.092285,0.1,125.5972,126.0,"[0.0923, 0.1963, 0.3037, 0.4038, 0.4976, 0.5986, 0.7012, 0.8013, 0.8921, 1.0]",0.200195,62.6777,63.0,0.0,2048,6144,320.283,960.8,157.86,790,200.211
10,869,1.848774,55616,166848,20.14,220.163,0.00025768744432908117,959.72,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.846502,0.44515,0.003418,0.445964,0.003418,0.205566,0.1,70.438,64.0,"[0.2056, 0.3911, 0.5986, 0.7217, 0.835, 0.9302, 1.0, 1.0, 1.0, 1.0]",0.205566,63.1118,64.0,0.0,2048,6144,312.448,937.3,178.001,869,226.355
11,948,1.846173,60672,182016,21.087,247.26,0.00021240707268209953,959.77,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.848455,0.440755,0.004883,0.349284,0.004883,0.125488,0.1,118.8276,119.0,"[0.1255, 0.2251, 0.3311, 0.4282, 0.5283, 0.6299, 0.7251, 0.8257, 0.9199, 1.0]",0.205566,62.7241,62.0,0.0,2048,6144,304.751,914.3,199.087,948,252.943
12,1027,1.846319,65728,197184,23.2,275.909,0.0001683862245404622,959.8,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.846605,0.447591,0.007324,0.448405,0.007324,0.208496,0.1,69.7993,62.0,"[0.2085, 0.4097, 0.6025, 0.7295, 0.8286, 0.9253, 1.0, 1.0, 1.0, 1.0]",0.208496,62.3271,62.0,0.0,2048,6144,295.69,887.1,222.287,1027,282.683
13,1106,1.845285,70784,212352,253.594,536.056,0.00012708042713359082,874.36,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.846042,0.447591,0.007324,0.448405,0.007324,0.208496,0.1,69.7993,62.0,"[0.2085, 0.4097, 0.6025, 0.7295, 0.8286, 0.9253, 1.0, 1.0, 1.0, 1.0]",0.208496,62.3271,62.0,0.0,2048,6144,148.743,446.2,475.881,1106,905.284
14,1185,1.844408,75840,227520,14.528,919.613,8.985543590229906e-05,963.41,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.844366,0.442546,0.003418,0.349772,0.003418,0.112793,0.1,121.6792,122.0,"[0.1128, 0.2148, 0.3208, 0.4185, 0.5142, 0.6167, 0.7148, 0.8145, 0.9087, 1.0]",0.204102,62.71,62.0,0.0,2048,6144,154.646,463.9,490.409,1185,923.647
15,1264,1.843873,80896,242688,14.442,937.873,5.7942076481245316e-05,963.42,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.84336,0.445964,0.003906,0.350423,0.003906,0.104004,0.1,123.6177,124.0,"[0.104, 0.2075, 0.3105, 0.4126, 0.5063, 0.6069, 0.709, 0.8062, 0.9009, 1.0]",0.203125,62.6885,62.0,0.0,2048,6144,160.237,480.7,504.852,1264,941.924
16,1343,1.843567,85952,257856,14.704,956.42,3.239554806764178e-05,964.47,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.843277,0.446777,0.003906,0.350423,0.003906,0.104004,0.1,123.6177,124.0,"[0.104, 0.2075, 0.3105, 0.4126, 0.5063, 0.6069, 0.709, 0.8062, 0.9009, 1.0]",0.203125,62.6885,62.0,0.0,2048,6144,165.434,496.3,519.556,1343,960.498
17,1422,1.842999,91008,273024,14.71,974.994,1.4060533789890816e-05,965.45,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.842765,0.445475,0.006348,0.354004,0.006348,0.103516,0.1,123.6665,125.0,"[0.1035, 0.2075, 0.3105, 0.4102, 0.5034, 0.604, 0.7104, 0.8101, 0.9043, 1.0]",0.199219,62.6953,63.0,0.0,2048,6144,170.342,511.0,534.266,1422,979.045
18,1501,1.842477,96064,288192,14.58,993.42,3.5432716842798603e-06,965.5,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.842786,0.445475,0.00293,0.445964,0.00293,0.134277,0.1,118.5776,118.0,"[0.1343, 0.2305, 0.3242, 0.4287, 0.5225, 0.6265, 0.7217, 0.835, 0.9302, 1.0]",0.204102,62.6909,63.0,0.0,2048,6144,175.029,525.1,548.846,1501,997.473
19,1563,1.843422,100032,300096,11.462,1008.688,1e-06,965.5,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.842763,0.446452,0.00293,0.445964,0.00293,0.134277,0.1,118.5776,118.0,"[0.1343, 0.2305, 0.3242, 0.4287, 0.5225, 0.6265, 0.7217, 0.835, 0.9302, 1.0]",0.204102,62.6909,63.0,0.0,2048,6144,178.53,535.6,560.308,1563,1012.743
