epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,step,wall_time_sec
0,79,2.790405,5056,15168,170.671,170.671,0.0002,390.38,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.997845,0.439779,0.0,0.004883,0.0,0.0,0.1,251.0,251.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0,251.0,251.0,1.0,2048,6144,29.624,88.9,79,222.405
1,158,1.926043,10112,30336,169.556,340.226,0.0003975,381.21,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.886814,0.441081,0.005859,0.44515,0.005859,0.203613,0.1,102.189,99.0,"[0.2036, 0.3042, 0.4067, 0.5049, 0.6011, 0.7017, 0.8066, 0.9092, 1.0, 1.0]",0.203613,62.8984,63.0,0.0,2048,6144,29.721,89.2,158,437.959
2,237,1.877748,15168,45504,169.92,510.146,0.0004990932474140245,496.82,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.867694,0.441406,0.003418,0.447103,0.003418,0.203613,0.1,68.77,64.0,"[0.2036, 0.3955, 0.5957, 0.7471, 0.8481, 0.9478, 1.0, 1.0, 1.0, 1.0]",0.203613,63.0342,64.0,0.0,2048,6144,29.733,89.2,237,654.575
3,316,1.865696,20224,60672,154.199,664.345,0.000491135059176067,501.48,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.858774,0.445964,0.007812,0.446615,0.007812,0.126465,0.1,120.4761,120.0,"[0.1265, 0.2192, 0.3169, 0.4219, 0.5142, 0.6191, 0.7144, 0.8237, 0.9233, 1.0]",0.203125,62.6641,63.0,0.0,2048,6144,30.442,91.3,316,847.31
4,395,1.855974,25280,75840,148.571,812.916,0.00047522039359225454,343.7,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.853055,0.447428,0.00293,0.447591,0.00293,0.206543,0.1,70.1372,62.0,"[0.2065, 0.4072, 0.603, 0.7251, 0.8257, 0.9199, 1.0, 1.0, 1.0, 1.0]",0.206543,62.3193,62.0,0.0,2048,6144,31.098,93.3,395,1050.343
5,474,1.85681,30336,91008,173.805,986.722,0.00045187546108519993,374.63,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.858415,0.444661,0.003418,0.34847,0.003418,0.116699,0.1,120.7231,121.0,"[0.1167, 0.2188, 0.3257, 0.4209, 0.521, 0.6201, 0.7192, 0.8188, 0.9126, 1.0]",0.204102,62.7188,62.0,0.0,2048,6144,30.744,92.2,474,1268.384
6,553,1.855955,35392,106176,157.451,1144.173,0.0004218721501206523,469.22,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.851465,0.448893,0.003418,0.349772,0.003418,0.112793,0.1,121.6792,122.0,"[0.1128, 0.2148, 0.3208, 0.4185, 0.5142, 0.6167, 0.7148, 0.8145, 0.9087, 1.0]",0.204102,62.71,62.0,0.0,2048,6144,30.932,92.8,553,1464.169
7,632,1.852104,40448,121344,146.222,1290.395,0.0003862025051031447,372.86,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.855264,0.447266,0.004395,0.446452,0.004395,0.199707,0.1,69.4126,64.0,"[0.1997, 0.3931, 0.6006, 0.7363, 0.8413, 0.9404, 1.0, 1.0, 1.0, 1.0]",0.199707,63.0557,64.0,0.0,2048,6144,31.345,94.0,632,1649.378
8,711,1.851489,45504,136512,142.107,1432.502,0.0003460459249261226,372.92,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.849655,0.442546,0.004395,0.444824,0.004395,0.197754,0.1,76.3105,63.0,"[0.1978, 0.397, 0.5669, 0.6636, 0.7725, 0.8721, 0.9653, 1.0, 1.0, 1.0]",0.197754,63.3301,63.0,0.0,2048,6144,31.765,95.3,711,1830.278
9,790,1.848046,50560,151680,142.821,1575.323,0.00030273016674001743,324.24,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.848045,0.442383,0.001953,0.347819,0.001953,0.092285,0.1,125.5972,126.0,"[0.0923, 0.1963, 0.3037, 0.4038, 0.4976, 0.5986, 0.7012, 0.8013, 0.8921, 1.0]",0.200195,62.6777,63.0,0.0,2048,6144,32.095,96.3,790,2011.35
