section,seed,arm,metric,V1,V2,winner,absolute_difference_v2_minus_v1,percent_difference,better_direction,chance_level,value
head_to_head_seed_0,,,Trainable parameters,4131200,4241288,V1,110088,2.66,lower,,
head_to_head_seed_0,,,Best epoch,19,19,n/a,0,0.0,none,,
head_to_head_seed_0,,,Samples trained,100032,100032,n/a,0,0.0,none,,
head_to_head_seed_0,,,Validation loss (nats),1.741287,0.955208,V2,-0.786079,-45.14,lower,,
head_to_head_seed_0,,,Teacher-forced token accuracy,0.532389,0.698893,V2,0.166504,31.27,higher,0.44621,
head_to_head_seed_0,,,Teacher-forced perfect accuracy,0.007812,0.10498,V2,0.097168,1243.83,higher,,
head_to_head_seed_0,,,Greedy token accuracy,0.453125,0.68278,V2,0.229655,50.68,higher,,
head_to_head_seed_0,,,Exact integer accuracy,0.007812,0.10498,V2,0.097168,1243.83,higher,0.00398,
head_to_head_seed_0,,,SALSA acc_tau,0.35498,0.984863,V2,0.629883,177.44,higher,0.19287,
head_to_head_seed_0,,,Decode failure rate,0.0,0.0,TIE,0.0,,lower,,
head_to_head_seed_0,,,Mean |b - b_hat|,63.4736,6.5244,V2,-56.9492,-89.72,lower,,
head_to_head_seed_0,,,Median |b - b_hat|,38.0,2.0,V2,-36.0,-94.74,lower,,
head_to_head_seed_0,,,Samples/sec,369.079,259.822,V1,-109.257,-29.6,higher,,
head_to_head_seed_0,,,Tokens/sec,1107.2,779.5,V1,-327.7,-29.6,higher,,
head_to_head_seed_0,,,Wall-clock training (s),344.6953458786011,470.60233998298645,V1,125.906994,36.53,lower,,
head_to_head_seed_0,,,CPU RSS (MiB),766.046875,609.640625,V2,-156.40625,-20.42,lower,,
per_seed,0,V1,parameter_count,,,,,,,,4131200
per_seed,0,V1,best_epoch,,,,,,,,19
per_seed,0,V1,samples_seen,,,,,,,,100032
per_seed,0,V1,valid_loss,,,,,,,,1.741287
per_seed,0,V1,valid_token_accuracy,,,,,,,,0.532389
per_seed,0,V1,valid_perfect_accuracy,,,,,,,,0.007812
per_seed,0,V1,valid_greedy_token_accuracy,,,,,,,,0.453125
per_seed,0,V1,valid_exact_accuracy,,,,,,,,0.007812
per_seed,0,V1,valid_acc_tau,,,,,,,,0.35498
per_seed,0,V1,valid_decode_failure_rate,,,,,,,,0.0
per_seed,0,V1,valid_mean_distance,,,,,,,,63.4736
per_seed,0,V1,valid_median_distance,,,,,,,,38.0
per_seed,0,V1,samples_per_second,,,,,,,,369.079
per_seed,0,V1,tokens_per_second,,,,,,,,1107.2
per_seed,0,V1,elapsed_seconds,,,,,,,,344.6953458786011
per_seed,0,V1,rss_mb,,,,,,,,766.046875
per_seed,0,V2,parameter_count,,,,,,,,4241288
per_seed,0,V2,best_epoch,,,,,,,,19
per_seed,0,V2,samples_seen,,,,,,,,100032
per_seed,0,V2,valid_loss,,,,,,,,0.955208
per_seed,0,V2,valid_token_accuracy,,,,,,,,0.698893
per_seed,0,V2,valid_perfect_accuracy,,,,,,,,0.10498
per_seed,0,V2,valid_greedy_token_accuracy,,,,,,,,0.68278
per_seed,0,V2,valid_exact_accuracy,,,,,,,,0.10498
per_seed,0,V2,valid_acc_tau,,,,,,,,0.984863
per_seed,0,V2,valid_decode_failure_rate,,,,,,,,0.0
per_seed,0,V2,valid_mean_distance,,,,,,,,6.5244
per_seed,0,V2,valid_median_distance,,,,,,,,2.0
per_seed,0,V2,samples_per_second,,,,,,,,259.822
per_seed,0,V2,tokens_per_second,,,,,,,,779.5
per_seed,0,V2,elapsed_seconds,,,,,,,,470.60233998298645
per_seed,0,V2,rss_mb,,,,,,,,609.640625
per_seed,42,V1,parameter_count,,,,,,,,4131200
per_seed,42,V1,best_epoch,,,,,,,,19
per_seed,42,V1,samples_seen,,,,,,,,100032
per_seed,42,V1,valid_loss,,,,,,,,1.843136
per_seed,42,V1,valid_token_accuracy,,,,,,,,0.44515
per_seed,42,V1,valid_perfect_accuracy,,,,,,,,0.003418
per_seed,42,V1,valid_greedy_token_accuracy,,,,,,,,0.443197
per_seed,42,V1,valid_exact_accuracy,,,,,,,,0.003418
