section,seed,run_dir,checkpoint_path,complete,best_epoch,samples_seen,valid_loss,valid_token_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_perfect_accuracy,valid_decode_failure_rate,cpu_memory_rss_mb,parameter_count_checkpoint,architecture,encoder_loops,decoder_loops,config_fingerprint_summary,config_fingerprint_checkpoint,fingerprints_match,config_fidelity_all_match,monitor_metric,monitor_mode,check,expected,actual,match
run,0,results/equal_depth_ablation/v2_te2/nact_n12_h2_te2/seed_0,results/equal_depth_ablation/v2_te2/nact_n12_h2_te2/seed_0/checkpoints/best.pt,True,19,100032,0.938798,0.69694,0.682454,0.101074,0.983887,0.101074,0.0,370.59375,4241288,nact,2,2,be1c85196c6d267c,be1c85196c6d267c,True,True,valid_loss,min,,,,
run,123,results/equal_depth_ablation/v2_te2/nact_n12_h2_te2/seed_123,results/equal_depth_ablation/v2_te2/nact_n12_h2_te2/seed_123/checkpoints/best.pt,True,19,100032,0.893135,0.704427,0.692057,0.119141,0.987305,0.119141,0.0,391.22265625,4241288,nact,2,2,a4cb9d0c870aec5e,a4cb9d0c870aec5e,True,True,valid_loss,min,,,,
run,42,results/equal_depth_ablation/v2_te2/nact_n12_h2_te2/seed_42,results/equal_depth_ablation/v2_te2/nact_n12_h2_te2/seed_42/checkpoints/best.pt,True,19,100032,0.908885,0.702799,0.688314,0.112793,0.987793,0.112793,0.0,365.46484375,4241288,nact,2,2,431e51ed5d60f02c,431e51ed5d60f02c,True,True,valid_loss,min,,,,
run,,results/equal_depth_ablation/v2_te2/nact_n12_h2_te2/seed_456,,False,,,,,,,,,,,,,,,,,,,,,,,,
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,arch,nact,nact,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,encoder_loops,2,2,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,decoder_loops,2,2,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,parameter_count,4241288,4241288,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,n,12,12,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,hamming_weight,2,2,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,q,251,251,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,sigma,3.0,3.0,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,structure,rlwe,rlwe,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,rlwe_variant,circulant,circulant,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,base,81,81,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,digit_order,lsb_first,lsb_first,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,separator,False,False,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,fixed_width,True,True,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,vocab_size,85,85,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,codec_vocabulary,85,85,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,nact_encoder_length,14,14,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,codec_input_length_v1_layout,26,26,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,output_length,4,4,True
config_fidelity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,seed_recorded,123,123,True
integrity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,fresh_model_is_SalsaNact,,True,True
integrity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,all_expected_keys_present,,True,True
integrity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,loads_strict,,True,True
integrity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,parameter_count_matches,,True,True
integrity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,all_parameters_on_cpu,,True,True
integrity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,all_parameters_finite,,True,True
integrity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,model_config_matches_checkpoint_spec,,True,True
integrity_selected,123,,,,,,,,,,,,,,,,,,,,,,,,integrity_all_pass,,True,True
