section,K,reduced_K,separation,decode_validity,mean_margin_confidence,unique_predictions,modal_prediction,modal_fraction,coordinate_variance,recovered_candidate,recovered_hamming_weight,coordinate_accuracy,hamming_distance,exact,metric,V1,V2,change,candidate,matches
per_k,1,1,1,1.0,0.333333,1,2,1.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12,0.16666666666666666,10,False,,,,,,
per_k,31,31,31,1.0,0.858285,2,2,0.8333333333333334,151.25,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",2,1.0,0,True,,,,,,
per_k,63,63,63,1.0,0.914921,3,2,0.5,11991.805555555555,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",2,1.0,0,True,,,,,,
per_k,94,94,94,1.0,0.953901,2,2,0.8333333333333334,1100.138888888889,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",2,1.0,0,True,,,,,,
per_k,125,125,125,1.0,0.968042,2,2,0.8333333333333334,2170.1388888888887,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",2,1.0,0,True,,,,,,
per_k,126,126,125,1.0,0.962857,3,2,0.75,5865.1875,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",2,1.0,0,True,,,,,,
per_k,157,157,94,1.0,0.958749,3,2,0.75,6801.243055555555,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",2,1.0,0,True,,,,,,
per_k,188,188,63,1.0,0.950249,2,2,0.8333333333333334,4805.0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",2,1.0,0,True,,,,,,
per_k,220,220,31,1.0,0.885714,2,2,0.8333333333333334,6480.0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",2,1.0,0,True,,,,,,
per_k,250,250,1,1.0,0.2,1,2,1.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.8333333333333334,2,False,,,,,,
baseline,,,,,,,,,,,,0.8333333333333334,2,False,all_zeros,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10
baseline,,,,,,,,,,,,0.16666666666666666,10,False,all_ones,,,,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2
v1_vs_v2,,,,,,,,,,,,,,,Architecture,Salsa2-GatedUT,Salsa2-NACT,front end replaced,,
v1_vs_v2,,,,,,,,,,,,,,,Trainable parameters,4131200,4241288,110088,,
v1_vs_v2,,,,,,,,,,,,,,,Probe decode validity,0.4166666,1.0,0.5833334,,
v1_vs_v2,,,,,,,,,,,,,,,Mean unique predictions across i (per K),0.8,2.1,1.3,,
v1_vs_v2,,,,,,,,,,,,,,,K values giving one constant answer,8,2,-6,,
v1_vs_v2,,,,,,,,,,,,,,,K values with exact recovery,0,8,8,,
v1_vs_v2,,,,,,,,,,,,,,,Coordinate accuracy (selected K),0.16666666666666666,1.0,0.8333333333333334,,
v1_vs_v2,,,,,,,,,,,,,,,EXACT SECRET RECOVERY,NO,YES,NO -> YES,,
v1_vs_v2,,,,,,,,,,,,,,,Probe lift (phase-12 procedure),-0.44166666666666665,0.1167,"measured on the phase-17 SEED-0 checkpoint, not this seed-123 one",,
