experiment,secret_index,training_seed,generation_seed,true_secret,recovered_candidate,coordinate_accuracy,hamming_distance,exact,n_k_exact,k_values_exact,selected_K,recovery_margin,probe_decode_validity,unique_predictions,decode_failures,all_zeros_accuracy,all_ones_accuracy,random_w2_accuracy,verification_std,verification_passes
1_secret_specificity_control,0,,101429978,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",0.6666666666666666,4,False,0,[],125,,1.0,2.1,0,0.8333333333333334,0.16666666666666666,0.8333333333333334,,
1_secret_specificity_control,1,,11005877,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",0.6666666666666666,4,False,0,[],125,,1.0,2.1,0,0.8333333333333334,0.16666666666666666,0.6666666666666666,,
1_secret_specificity_control,2,,1736850619,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",0.6666666666666666,4,False,0,[],125,,1.0,2.1,0,0.8333333333333334,0.16666666666666666,0.8333333333333334,,
1_secret_specificity_control,3,,368315112,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",0.8333333333333334,2,False,0,[],125,,1.0,2.1,0,0.8333333333333334,0.16666666666666666,0.8333333333333334,,
1_secret_specificity_control,4,,3269322274,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",0.8333333333333334,2,False,0,[],125,,1.0,2.1,0,0.8333333333333334,0.16666666666666666,0.8333333333333334,,
1_secret_specificity_control,5,,1566455064,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",0.8333333333333334,2,False,0,[],125,,1.0,2.1,0,0.8333333333333334,0.16666666666666666,0.6666666666666666,,
1_secret_specificity_control,6,,2384904417,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",0.6666666666666666,4,False,0,[],125,,1.0,2.1,0,0.8333333333333334,0.16666666666666666,0.6666666666666666,,
1_secret_specificity_control,7,,2894236140,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",0.8333333333333334,2,False,0,[],125,,1.0,2.1,0,0.8333333333333334,0.16666666666666666,0.6666666666666666,,
1_secret_specificity_control,8,,3249827391,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",0.8333333333333334,2,False,0,[],125,,1.0,2.1,0,0.8333333333333334,0.16666666666666666,0.8333333333333334,,
1_secret_specificity_control,9,,808163997,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",0.6666666666666666,4,False,0,[],125,,1.0,2.1,0,0.8333333333333334,0.16666666666666666,0.6666666666666666,,
2_multi_secret_robustness,,0,,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1.0,0,True,7,"[31, 63, 94, 125, 126, 157, 220]",125,0.9613544973544973,1.0,2.7,0,0.8333333333333334,0.16666666666666666,0.6666666666666666,2.968320666124512,True
2_multi_secret_robustness,,42,,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",1.0,0,True,8,"[31, 63, 94, 125, 126, 157, 188, 220]",125,0.9894179894179894,1.0,2.6,0,0.8333333333333334,0.16666666666666666,0.6666666666666666,3.023793341305067,True
2_multi_secret_robustness,,123,,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",1.0,0,True,8,"[31, 63, 94, 125, 126, 157, 188, 220]",125,0.968042328042328,1.0,2.1,0,0.8333333333333334,0.16666666666666666,0.8333333333333334,2.981266720810139,True
